EP, 03, 2015060912,   , MIWU, 0,  91N,  954W,  15, 1011, DB,  0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Carlos,
EP, 03, 2015060918,   , MIWU, 0,  94N,  956W,  20, 1010, DB,
EP, 03, 2015061000,   , MIWU, 0,  99N,  961W,  20, 1010, DB,
EP, 03, 2015061006,   , MIWU, 0, 106N,  967W,  25, 1008, TD,
EP, 03, 2015061012,   , MIWU, 0, 113N,  975W,  30, 1006, TD,
EP, 03, 2015061018,   , MIWU, 0, 120N,  984W,  35, 1004, TS,
EP, 03, 2015061100,   , MIWU, 0, 124N,  992W,  35, 1003, TS,
EP, 03, 2015061106,   , MIWU, 0, 128N,  999W,  35, 1003, TS,
EP, 03, 2015061112,   , MIWU, 0, 134N, 1002W,  40, 1001, TS,
EP, 03, 2015061118,   , MIWU, 0, 139N, 1003W,  45,  999, TS,
EP, 03, 2015061200,   , MIWU, 0, 143N, 1004W,  50,  997, TS,
EP, 03, 2015061206,   , MIWU, 0, 146N, 1005W,  50,  996, TS,
EP, 03, 2015061212,   , MIWU, 0, 147N, 1004W,  50,  996, TS,
EP, 03, 2015061218,   , MIWU, 0, 147N, 1002W,  55,  994, TS,
EP, 03, 2015061300,   , MIWU, 0, 146N, 1000W,  60,  992, TS,
EP, 03, 2015061306,   , MIWU, 0, 147N,  999W,  65,  990, HU,
EP, 03, 2015061312,   , MIWU, 0, 148N,  998W,  75,  986, HU,
EP, 03, 2015061318,   , MIWU, 0, 151N,  998W,  80,  984, HU,
EP, 03, 2015061400,   , MIWU, 0, 154N,  999W,  75,  986, HU,
EP, 03, 2015061406,   , MIWU, 0, 157N, 1000W,  70,  988, HU,
EP, 03, 2015061412,   , MIWU, 0, 160N, 1002W,  65,  990, HU,
EP, 03, 2015061418,   , MIWU, 0, 163N, 1006W,  65,  990, HU,
EP, 03, 2015061500,   , MIWU, 0, 164N, 1012W,  60,  992, TS,
EP, 03, 2015061506,   , MIWU, 0, 166N, 1017W,  60,  992, TS,
EP, 03, 2015061512,   , MIWU, 0, 167N, 1022W,  55,  994, TS,
EP, 03, 2015061518,   , MIWU, 0, 168N, 1027W,  55,  994, TS,
EP, 03, 2015061600,   , MIWU, 0, 170N, 1031W,  60,  992, TS,
EP, 03, 2015061606,   , MIWU, 0, 172N, 1035W,  65,  990, HU,
EP, 03, 2015061612,   , MIWU, 0, 174N, 1039W,  75,  986, HU,
EP, 03, 2015061618,   , MIWU, 0, 177N, 1041W,  80,  984, HU,
EP, 03, 2015061700,   , MIWU, 0, 181N, 1044W,  60,  992, TS,
EP, 03, 2015061706,   , MIWU, 0, 187N, 1046W,  45,  998, TS,
EP, 03, 2015061712,   , MIWU, 0, 195N, 1048W,  30, 1004, TD,
EP, 03, 2015061718,   , MIWU, 0, 202N, 1051W,  15, 1010, DB,
