EP, 07, 2015072106,   , MIWU, 0, 155N, 1126W,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Felicia,
EP, 07, 2015072112,   , MIWU, 0, 150N, 1129W,  20, 1010, DB,
EP, 07, 2015072118,   , MIWU, 0, 147N, 1131W,  20, 1010, DB,
EP, 07, 2015072200,   , MIWU, 0, 146N, 1132W,  25, 1008, DB,
EP, 07, 2015072206,   , MIWU, 0, 147N, 1133W,  25, 1008, TD,
EP, 07, 2015072212,   , MIWU, 0, 151N, 1134W,  30, 1006, TD,
EP, 07, 2015072218,   , MIWU, 0, 157N, 1135W,  30, 1006, TD,
EP, 07, 2015072300,   , MIWU, 0, 165N, 1137W,  35, 1004, TS,
EP, 07, 2015072306,   , MIWU, 0, 176N, 1139W,  40, 1002, TS,
EP, 07, 2015072312,   , MIWU, 0, 187N, 1143W,  40, 1002, TS,
EP, 07, 2015072318,   , MIWU, 0, 196N, 1153W,  35, 1003, TS,
EP, 07, 2015072400,   , MIWU, 0, 202N, 1162W,  35, 1003, TS,
EP, 07, 2015072406,   , MIWU, 0, 209N, 1169W,  30, 1005, TD,
EP, 07, 2015072412,   , MIWU, 0, 217N, 1178W,  30, 1005, TD,
EP, 07, 2015072418,   , MIWU, 0, 224N, 1185W,  25, 1006, TD,
EP, 07, 2015072500,   , MIWU, 0, 231N, 1195W,  25, 1006, TD,
EP, 07, 2015072506,   , MIWU, 0, 235N, 1205W,  25, 1006, LO,
EP, 07, 2015072512,   , MIWU, 0, 239N, 1215W,  20, 1008, LO,
EP, 07, 2015072518,   , MIWU, 0, 241N, 1223W,  20, 1008, LO,
EP, 07, 2015072600,   , MIWU, 0, 242N, 1231W,  20, 1008, LO,
EP, 07, 2015072606,   , MIWU, 0, 244N, 1238W,  20, 1008, LO,
EP, 07, 2015072612,   , MIWU, 0, 246N, 1243W,  20, 1009, LO,
EP, 07, 2015072618,   , MIWU, 0, 247N, 1248W,  20, 1009, LO,
EP, 07, 2015072700,   , MIWU, 0, 245N, 1253W,  20, 1009, LO,
EP, 07, 2015072706,   , MIWU, 0, 243N, 1257W,  15, 1011, LO,
EP, 07, 2015072712,   , MIWU, 0, 240N, 1261W,  15, 1012, LO,
EP, 07, 2015072718,   , MIWU, 0, 237N, 1264W,  15, 1012, LO,
EP, 07, 2015072800,   , MIWU, 0, 235N, 1268W,  15, 1012, LO,
EP, 07, 2015072806,   , MIWU, 0, 234N, 1274W,  15, 1012, LO,
