EP, 16, 2015091918,   , MIWU, 0, 197N, 1118W,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Sixteen-E,
EP, 16, 2015092000,   , MIWU, 0, 210N, 1120W,  20, 1007, DB,
EP, 16, 2015092006,   , MIWU, 0, 221N, 1123W,  20, 1006, DB,
EP, 16, 2015092012,   , MIWU, 0, 231N, 1126W,  25, 1004, TD,
EP, 16, 2015092018,   , MIWU, 0, 241N, 1129W,  25, 1003, TD,
EP, 16, 2015092100,   , MIWU, 0, 252N, 1130W,  30, 1001, TD,
EP, 16, 2015092106,   , MIWU, 0, 266N, 1128W,  30, 1000, TD,
EP, 16, 2015092112,   , MIWU, 0, 284N, 1124W,  30, 1000, TD,
EP, 16, 2015092118,   , MIWU, 0, 305N, 1119W,  20, 1004, DB,
EP, 16, 2015092200,   , MIWU, 0, 330N, 1115W,  10, 1008, DB,
