EP, 19, 2015101500,   , MIWU, 0, 100N, 1170W,  20, 1011, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Olaf,
EP, 19, 2015101506,   , MIWU, 0, 100N, 1182W,  20, 1011, DB,
EP, 19, 2015101512,   , MIWU, 0, 100N, 1194W,  20, 1010, DB,
EP, 19, 2015101518,   , MIWU, 0, 100N, 1206W,  25, 1008, TD,
EP, 19, 2015101600,   , MIWU, 0,  99N, 1218W,  25, 1007, TD,
EP, 19, 2015101606,   , MIWU, 0,  98N, 1230W,  30, 1005, TD,
EP, 19, 2015101612,   , MIWU, 0,  96N, 1243W,  30, 1005, TD,
EP, 19, 2015101618,   , MIWU, 0,  95N, 1256W,  30, 1004, TD,
EP, 19, 2015101700,   , MIWU, 0,  94N, 1269W,  35, 1002, TS,
EP, 19, 2015101706,   , MIWU, 0,  93N, 1280W,  40, 1000, TS,
EP, 19, 2015101712,   , MIWU, 0,  92N, 1290W,  45,  998, TS,
EP, 19, 2015101718,   , MIWU, 0,  92N, 1299W,  50,  996, TS,
EP, 19, 2015101800,   , MIWU, 0,  93N, 1307W,  55,  993, TS,
EP, 19, 2015101806,   , MIWU, 0,  94N, 1315W,  60,  990, TS,
EP, 19, 2015101812,   , MIWU, 0,  95N, 1325W,  65,  987, HU,
EP, 19, 2015101818,   , MIWU, 0,  96N, 1337W,  70,  984, HU,
EP, 19, 2015101900,   , MIWU, 0,  97N, 1349W,  80,  976, HU,
EP, 19, 2015101906,   , MIWU, 0,  98N, 1360W,  90,  968, HU,
EP, 19, 2015101912,   , MIWU, 0,  99N, 1371W, 105,  956, HU,
EP, 19, 2015101918,   , MIWU, 0, 100N, 1382W, 115,  948, HU,
EP, 19, 2015102000,   , MIWU, 0, 100N, 1391W, 130,  935, HU,
EP, 19, 2015102006,   , MIWU, 0, 101N, 1400W, 140,  925, HU,
EP, 19, 2015102012,   , MIWU, 0, 103N, 1409W, 130,  922, HU,
EP, 19, 2015102018,   , MIWU, 0, 105N, 1418W, 125,  924, HU,
EP, 19, 2015102100,   , MIWU, 0, 108N, 1427W, 120,  928, HU,
EP, 19, 2015102106,   , MIWU, 0, 112N, 1434W, 110,  936, HU,
EP, 19, 2015102112,   , MIWU, 0, 117N, 1442W, 100,  945, HU,
EP, 19, 2015102118,   , MIWU, 0, 120N, 1448W,  95,  950, HU,
EP, 19, 2015102200,   , MIWU, 0, 123N, 1453W,  95,  952, HU,
EP, 19, 2015102206,   , MIWU, 0, 125N, 1458W,  90,  956, HU,
EP, 19, 2015102212,   , MIWU, 0, 129N, 1461W,  80,  964, HU,
EP, 19, 2015102218,   , MIWU, 0, 134N, 1463W,  80,  966, HU,
EP, 19, 2015102300,   , MIWU, 0, 140N, 1463W,  85,  963, HU,
EP, 19, 2015102306,   , MIWU, 0, 147N, 1462W,  90,  960, HU,
EP, 19, 2015102312,   , MIWU, 0, 155N, 1461W, 100,  955, HU,
EP, 19, 2015102318,   , MIWU, 0, 165N, 1462W, 100,  954, HU,
EP, 19, 2015102400,   , MIWU, 0, 175N, 1461W,  95,  957, HU,
EP, 19, 2015102406,   , MIWU, 0, 183N, 1458W,  90,  960, HU,
EP, 19, 2015102412,   , MIWU, 0, 190N, 1455W,  85,  963, HU,
EP, 19, 2015102418,   , MIWU, 0, 196N, 1451W,  85,  964, HU,
EP, 19, 2015102500,   , MIWU, 0, 202N, 1446W,  85,  964, HU,
EP, 19, 2015102506,   , MIWU, 0, 206N, 1441W,  85,  964, HU,
EP, 19, 2015102512,   , MIWU, 0, 212N, 1438W,  80,  968, HU,
EP, 19, 2015102518,   , MIWU, 0, 220N, 1436W,  80,  969, HU,
EP, 19, 2015102600,   , MIWU, 0, 228N, 1432W,  70,  976, HU,
EP, 19, 2015102606,   , MIWU, 0, 235N, 1425W,  60,  984, TS,
EP, 19, 2015102612,   , MIWU, 0, 243N, 1414W,  60,  985, TS,
EP, 19, 2015102618,   , MIWU, 0, 253N, 1395W,  55,  988, TS,
EP, 19, 2015102700,   , MIWU, 0, 260N, 1378W,  50,  991, TS,
EP, 19, 2015102706,   , MIWU, 0, 263N, 1366W,  45,  994, TS,
EP, 19, 2015102712,   , MIWU, 0, 266N, 1355W,  40,  996, LO,
EP, 19, 2015102718,   , MIWU, 0, 270N, 1347W,  35,  998, LO,
EP, 19, 2015102800,   , MIWU, 0, 270N, 1343W,  30, 1000, LO,
EP, 19, 2015102806,   , MIWU, 0, 266N, 1341W,  30, 1001, LO,
EP, 19, 2015102812,   , MIWU, 0, 260N, 1347W,  25, 1003, LO,
EP, 19, 2015102818,   , MIWU, 0, 255N, 1360W,  20, 1005, LO,
EP, 19, 2015102900,   , MIWU, 0, 249N, 1373W,  20, 1005, LO,
EP, 19, 2015102906,   , MIWU, 0, 243N, 1390W,  20, 1006, LO,
EP, 19, 2015102912,   , MIWU, 0, 243N, 1410W,  15, 1008, LO,
EP, 19, 2015102918,   , MIWU, 0, 246N, 1430W,  15, 1008, LO,
EP, 19, 2015103000,   , MIWU, 0, 252N, 1448W,  15, 1009, LO,
EP, 19, 2015103006,   , MIWU, 0, 260N, 1462W,  15, 1009, LO,
EP, 19, 2015103012,   , MIWU, 0, 271N, 1470W,  15, 1009, LO,
