SH, 16, 2024021718,   , MIWU, 0, 170S,  520E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Eleanor,
SH, 16, 2024021800,   , MIWU, 0, 166S,  525E,  20, 1006, DB,
SH, 16, 2024021806,   , MIWU, 0, 162S,  530E,  20, 1005, DB,
SH, 16, 2024021812,   , MIWU, 0, 160S,  536E,  25, 1003, TD,
SH, 16, 2024021818,   , MIWU, 0, 156S,  542E,  30, 1001, TD,
SH, 16, 2024021900,   , MIWU, 0, 150S,  547E,  35,  999, TS,
SH, 16, 2024021906,   , MIWU, 0, 146S,  552E,  35,  998, TS,
SH, 16, 2024021912,   , MIWU, 0, 144S,  557E,  40,  996, TS,
SH, 16, 2024021918,   , MIWU, 0, 143S,  563E,  40,  995, TS,
SH, 16, 2024022000,   , MIWU, 0, 141S,  572E,  40,  995, TS,
SH, 16, 2024022006,   , MIWU, 0, 140S,  584E,  45,  993, TS,
SH, 16, 2024022012,   , MIWU, 0, 141S,  594E,  50,  991, TS,
SH, 16, 2024022018,   , MIWU, 0, 142S,  599E,  50,  990, TS,
SH, 16, 2024022100,   , MIWU, 0, 146S,  600E,  50,  990, TS,
SH, 16, 2024022106,   , MIWU, 0, 155S,  600E,  50,  991, TS,
SH, 16, 2024022112,   , MIWU, 0, 167S,  598E,  50,  991, TS,
SH, 16, 2024022118,   , MIWU, 0, 180S,  594E,  55,  989, TS,
SH, 16, 2024022200,   , MIWU, 0, 190S,  590E,  65,  983, TY,
SH, 16, 2024022206,   , MIWU, 0, 202S,  586E,  65,  982, TY,
SH, 16, 2024022212,   , MIWU, 0, 213S,  584E,  60,  984, TS,
SH, 16, 2024022218,   , MIWU, 0, 224S,  583E,  55,  986, TS,
SH, 16, 2024022300,   , MIWU, 0, 230S,  583E,  50,  988, TS,
SH, 16, 2024022306,   , MIWU, 0, 234S,  583E,  45,  990, TS,
SH, 16, 2024022312,   , MIWU, 0, 237S,  584E,  40,  992, LO,
SH, 16, 2024022318,   , MIWU, 0, 239S,  582E,  30,  996, LO,
SH, 16, 2024022400,   , MIWU, 0, 239S,  578E,  30,  997, LO,
SH, 16, 2024022406,   , MIWU, 0, 235S,  574E,  25,  999, LO,
SH, 16, 2024022412,   , MIWU, 0, 227S,  568E,  25,  999, LO,
SH, 16, 2024022418,   , MIWU, 0, 223S,  560E,  25, 1000, LO,
SH, 16, 2024022500,   , MIWU, 0, 221S,  548E,  25, 1000, LO,
SH, 16, 2024022506,   , MIWU, 0, 218S,  535E,  20, 1002, LO,
SH, 16, 2024022512,   , MIWU, 0, 213S,  521E,  20, 1002, LO,
SH, 16, 2024022518,   , MIWU, 0, 208S,  512E,  20, 1003, LO,
SH, 16, 2024022600,   , MIWU, 0, 204S,  504E,  20, 1003, LO,
SH, 16, 2024022606,   , MIWU, 0, 201S,  498E,  15, 1005, LO,
SH, 16, 2024022612,   , MIWU, 0, 200S,  491E,  15, 1006, LO,
SH, 16, 2024022618,   , MIWU, 0, 200S,  482E,  15, 1006, LO,
