SH, 18, 2024030818,   , MIWU, 0, 110S,  940E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Neville,
SH, 18, 2024030900,   , MIWU, 0, 114S,  936E,  20, 1006, DB,
SH, 18, 2024030906,   , MIWU, 0, 120S,  933E,  20, 1006, DB,
SH, 18, 2024030912,   , MIWU, 0, 124S,  933E,  20, 1005, DB,
SH, 18, 2024030918,   , MIWU, 0, 125S,  937E,  20, 1005, DB,
SH, 18, 2024031000,   , MIWU, 0, 123S,  945E,  25, 1003, TD,
SH, 18, 2024031006,   , MIWU, 0, 120S,  957E,  25, 1002, TD,
SH, 18, 2024031012,   , MIWU, 0, 119S,  972E,  30, 1000, TD,
SH, 18, 2024031018,   , MIWU, 0, 119S,  987E,  35,  998, TS,
SH, 18, 2024031100,   , MIWU, 0, 119S, 1002E,  35,  997, TS,
SH, 18, 2024031106,   , MIWU, 0, 120S, 1016E,  30,  999, TD,
SH, 18, 2024031112,   , MIWU, 0, 122S, 1030E,  30,  998, TD,
SH, 18, 2024031118,   , MIWU, 0, 125S, 1042E,  35,  996, TS,
SH, 18, 2024031200,   , MIWU, 0, 130S, 1050E,  35,  996, TS,
SH, 18, 2024031206,   , MIWU, 0, 133S, 1058E,  35,  997, TS,
SH, 18, 2024031212,   , MIWU, 0, 135S, 1068E,  35,  997, TS,
SH, 18, 2024031218,   , MIWU, 0, 138S, 1078E,  30,  999, TD,
SH, 18, 2024031300,   , MIWU, 0, 142S, 1090E,  25, 1001, TD,
SH, 18, 2024031306,   , MIWU, 0, 148S, 1103E,  25, 1000, TD,
SH, 18, 2024031312,   , MIWU, 0, 151S, 1113E,  30,  998, TD,
SH, 18, 2024031318,   , MIWU, 0, 153S, 1122E,  30,  997, TD,
SH, 18, 2024031400,   , MIWU, 0, 157S, 1133E,  30,  997, TD,
SH, 18, 2024031406,   , MIWU, 0, 162S, 1145E,  25,  999, TD,
SH, 18, 2024031412,   , MIWU, 0, 166S, 1151E,  25, 1000, TD,
SH, 18, 2024031418,   , MIWU, 0, 170S, 1154E,  25, 1000, TD,
SH, 18, 2024031500,   , MIWU, 0, 174S, 1153E,  30,  998, TD,
SH, 18, 2024031506,   , MIWU, 0, 176S, 1151E,  30,  998, TD,
SH, 18, 2024031512,   , MIWU, 0, 177S, 1148E,  30,  997, TD,
SH, 18, 2024031518,   , MIWU, 0, 176S, 1145E,  35,  995, TS,
SH, 18, 2024031600,   , MIWU, 0, 174S, 1144E,  35,  995, TS,
SH, 18, 2024031606,   , MIWU, 0, 172S, 1143E,  35,  995, TS,
SH, 18, 2024031612,   , MIWU, 0, 170S, 1141E,  40,  993, TS,
SH, 18, 2024031618,   , MIWU, 0, 169S, 1138E,  40,  992, TS,
SH, 18, 2024031700,   , MIWU, 0, 168S, 1134E,  40,  992, TS,
SH, 18, 2024031706,   , MIWU, 0, 168S, 1129E,  35,  994, TS,
SH, 18, 2024031712,   , MIWU, 0, 169S, 1125E,  35,  994, TS,
SH, 18, 2024031718,   , MIWU, 0, 171S, 1122E,  35,  995, TS,
SH, 18, 2024031800,   , MIWU, 0, 174S, 1120E,  35,  995, TS,
SH, 18, 2024031806,   , MIWU, 0, 179S, 1119E,  40,  993, TS,
SH, 18, 2024031812,   , MIWU, 0, 184S, 1120E,  40,  992, TS,
SH, 18, 2024031818,   , MIWU, 0, 187S, 1118E,  45,  990, TS,
SH, 18, 2024031900,   , MIWU, 0, 187S, 1116E,  45,  990, TS,
SH, 18, 2024031906,   , MIWU, 0, 185S, 1113E,  45,  991, TS,
SH, 18, 2024031912,   , MIWU, 0, 183S, 1110E,  40,  993, TS,
SH, 18, 2024031918,   , MIWU, 0, 180S, 1106E,  40,  992, TS,
SH, 18, 2024032000,   , MIWU, 0, 178S, 1101E,  45,  990, TS,
SH, 18, 2024032006,   , MIWU, 0, 178S, 1095E,  50,  987, TS,
SH, 18, 2024032012,   , MIWU, 0, 179S, 1087E,  55,  984, TS,
SH, 18, 2024032018,   , MIWU, 0, 180S, 1077E,  65,  978, TY,
SH, 18, 2024032100,   , MIWU, 0, 180S, 1067E,  75,  972, TY,
SH, 18, 2024032106,   , MIWU, 0, 180S, 1056E,  90,  962, TY,
SH, 18, 2024032112,   , MIWU, 0, 179S, 1046E, 105,  953, TY,
SH, 18, 2024032115,   , MIWU, 0, 179S, 1041E, 115,  947, TY,
SH, 18, 2024032118,   , MIWU, 0, 179S, 1035E, 115,  948, TY,
SH, 18, 2024032200,   , MIWU, 0, 179S, 1023E, 110,  950, TY,
SH, 18, 2024032206,   , MIWU, 0, 181S, 1008E, 105,  952, TY,
SH, 18, 2024032212,   , MIWU, 0, 183S,  992E, 105,  953, TY,
SH, 18, 2024032218,   , MIWU, 0, 187S,  976E, 105,  953, TY,
SH, 18, 2024032300,   , MIWU, 0, 194S,  961E, 100,  956, TY,
SH, 18, 2024032306,   , MIWU, 0, 200S,  947E,  95,  960, TY,
SH, 18, 2024032312,   , MIWU, 0, 208S,  934E,  85,  968, TY,
SH, 18, 2024032318,   , MIWU, 0, 217S,  923E,  75,  976, TY,
SH, 18, 2024032400,   , MIWU, 0, 224S,  913E,  65,  982, TY,
SH, 18, 2024032406,   , MIWU, 0, 228S,  903E,  55,  988, TS,
SH, 18, 2024032412,   , MIWU, 0, 233S,  893E,  45,  994, TS,
SH, 18, 2024032418,   , MIWU, 0, 237S,  883E,  40,  996, LO,
SH, 18, 2024032500,   , MIWU, 0, 241S,  873E,  35,  998, LO,
SH, 18, 2024032506,   , MIWU, 0, 247S,  864E,  30, 1000, LO,
SH, 18, 2024032512,   , MIWU, 0, 256S,  862E,  25, 1002, LO,
SH, 18, 2024032518,   , MIWU, 0, 267S,  867E,  25, 1003, EX,
SH, 18, 2024032600,   , MIWU, 0, 279S,  873E,  20, 1005, EX,
SH, 18, 2024032606,   , MIWU, 0, 291S,  880E,  20, 1006, EX,
