SH, 06, 2024011218,   , MIWU, 0, 102S,  925E,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Anggrek,
SH, 06, 2024011300,   , MIWU, 0, 104S,  928E,  20, 1008, DB,
SH, 06, 2024011306,   , MIWU, 0, 106S,  931E,  20, 1008, DB,
SH, 06, 2024011312,   , MIWU, 0, 107S,  934E,  25, 1006, TD,
SH, 06, 2024011318,   , MIWU, 0, 108S,  937E,  30, 1004, TD,
SH, 06, 2024011400,   , MIWU, 0, 108S,  938E,  30, 1003, TD,
SH, 06, 2024011406,   , MIWU, 0, 107S,  938E,  30, 1003, TD,
SH, 06, 2024011412,   , MIWU, 0, 106S,  937E,  35, 1001, TS,
SH, 06, 2024011418,   , MIWU, 0, 103S,  935E,  35, 1000, TS,
SH, 06, 2024011500,   , MIWU, 0, 100S,  932E,  40,  998, TS,
SH, 06, 2024011506,   , MIWU, 0,  96S,  931E,  45,  995, TS,
SH, 06, 2024011512,   , MIWU, 0,  92S,  932E,  45,  995, TS,
SH, 06, 2024011518,   , MIWU, 0,  90S,  934E,  45,  996, TS,
SH, 06, 2024011600,   , MIWU, 0,  90S,  936E,  40,  998, TS,
SH, 06, 2024011606,   , MIWU, 0,  91S,  938E,  40,  998, TS,
SH, 06, 2024011612,   , MIWU, 0,  93S,  940E,  40,  999, TS,
SH, 06, 2024011618,   , MIWU, 0,  95S,  940E,  40,  999, TS,
SH, 06, 2024011700,   , MIWU, 0,  98S,  940E,  35, 1001, TS,
SH, 06, 2024011706,   , MIWU, 0, 102S,  940E,  35, 1002, TS,
SH, 06, 2024011712,   , MIWU, 0, 105S,  940E,  35, 1002, TS,
SH, 06, 2024011718,   , MIWU, 0, 108S,  939E,  40, 1000, TS,
SH, 06, 2024011800,   , MIWU, 0, 111S,  939E,  40,  999, TS,
SH, 06, 2024011806,   , MIWU, 0, 115S,  938E,  40,  999, TS,
SH, 06, 2024011812,   , MIWU, 0, 118S,  936E,  40,  999, TS,
SH, 06, 2024011818,   , MIWU, 0, 121S,  933E,  45,  997, TS,
SH, 06, 2024011900,   , MIWU, 0, 123S,  931E,  45,  996, TS,
SH, 06, 2024011906,   , MIWU, 0, 125S,  929E,  50,  994, TS,
SH, 06, 2024011912,   , MIWU, 0, 125S,  928E,  50,  993, TS,
SH, 06, 2024011918,   , MIWU, 0, 124S,  927E,  55,  990, TS,
SH, 06, 2024012000,   , MIWU, 0, 123S,  926E,  60,  987, TS,
SH, 06, 2024012006,   , MIWU, 0, 123S,  925E,  60,  986, TS,
SH, 06, 2024012012,   , MIWU, 0, 123S,  924E,  60,  986, TS,
SH, 06, 2024012018,   , MIWU, 0, 122S,  923E,  55,  989, TS,
SH, 06, 2024012100,   , MIWU, 0, 121S,  922E,  50,  991, TS,
SH, 06, 2024012106,   , MIWU, 0, 120S,  921E,  50,  992, TS,
SH, 06, 2024012112,   , MIWU, 0, 120S,  920E,  45,  994, TS,
SH, 06, 2024012118,   , MIWU, 0, 120S,  919E,  45,  995, TS,
SH, 06, 2024012200,   , MIWU, 0, 121S,  917E,  50,  993, TS,
SH, 06, 2024012206,   , MIWU, 0, 122S,  916E,  60,  988, TS,
SH, 06, 2024012212,   , MIWU, 0, 123S,  914E,  55,  990, TS,
SH, 06, 2024012218,   , MIWU, 0, 125S,  914E,  50,  992, TS,
