EP, 13, 2013091200,   , MIWU, 0, 136N,  984W,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Manuel,
EP, 13, 2013091206,   , MIWU, 0, 140N,  987W,  20, 1006, DB,
EP, 13, 2013091212,   , MIWU, 0, 145N,  992W,  20, 1005, DB,
EP, 13, 2013091218,   , MIWU, 0, 149N,  997W,  25, 1003, TD,
EP, 13, 2013091300,   , MIWU, 0, 152N, 1003W,  25, 1002, TD,
EP, 13, 2013091306,   , MIWU, 0, 154N, 1009W,  30, 1000, TD,
EP, 13, 2013091312,   , MIWU, 0, 153N, 1014W,  35,  998, TS,
EP, 13, 2013091318,   , MIWU, 0, 153N, 1018W,  35,  998, TS,
EP, 13, 2013091400,   , MIWU, 0, 154N, 1021W,  40,  996, TS,
EP, 13, 2013091406,   , MIWU, 0, 156N, 1023W,  45,  994, TS,
EP, 13, 2013091412,   , MIWU, 0, 160N, 1022W,  50,  992, TS,
EP, 13, 2013091418,   , MIWU, 0, 164N, 1023W,  50,  991, TS,
EP, 13, 2013091500,   , MIWU, 0, 170N, 1022W,  55,  988, TS,
EP, 13, 2013091506,   , MIWU, 0, 177N, 1024W,  60,  985, TS,
EP, 13, 2013091512,   , MIWU, 0, 182N, 1030W,  60,  984, TS,
EP, 13, 2013091518,   , MIWU, 0, 191N, 1036W,  50,  990, TS,
EP, 13, 2013091600,   , MIWU, 0, 200N, 1041W,  30, 1002, TD,
EP, 13, 2013091606,   , MIWU, 0, 207N, 1045W,  20, 1006, DB,
EP, 13, 2013091612,   , MIWU, 0, 210N, 1050W,  20, 1006, DB,
EP, 13, 2013091618,   , MIWU, 0, 213N, 1054W,  15, 1008, DB,
EP, 13, 2013091700,   , MIWU, 0, 216N, 1060W,  15, 1007, DB,
EP, 13, 2013091706,   , MIWU, 0, 220N, 1065W,  20, 1005, DB,
EP, 13, 2013091712,   , MIWU, 0, 223N, 1069W,  25, 1003, TD,
EP, 13, 2013091718,   , MIWU, 0, 225N, 1072W,  30, 1001, TD,
EP, 13, 2013091800,   , MIWU, 0, 227N, 1074W,  35,  999, TS,
EP, 13, 2013091806,   , MIWU, 0, 230N, 1076W,  40,  997, TS,
EP, 13, 2013091812,   , MIWU, 0, 233N, 1077W,  50,  991, TS,
EP, 13, 2013091818,   , MIWU, 0, 237N, 1079W,  65,  982, HU,
EP, 13, 2013091900,   , MIWU, 0, 242N, 1080W,  70,  980, HU,
EP, 13, 2013091906,   , MIWU, 0, 246N, 1080W,  70,  980, HU,
EP, 13, 2013091912,   , MIWU, 0, 251N, 1078W,  60,  984, TS,
EP, 13, 2013091918,   , MIWU, 0, 258N, 1073W,  40,  996, TS,
EP, 13, 2013092000,   , MIWU, 0, 269N, 1065W,  20, 1006, DB,
