EP, 04, 2013062818,   , MIWU, 0, 108N, 1043W,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Dalila,
EP, 04, 2013062900,   , MIWU, 0, 110N, 1044W,  20, 1009, DB,
EP, 04, 2013062906,   , MIWU, 0, 113N, 1042W,  20, 1009, DB,
EP, 04, 2013062912,   , MIWU, 0, 117N, 1037W,  20, 1009, DB,
EP, 04, 2013062918,   , MIWU, 0, 124N, 1033W,  25, 1007, TD,
EP, 04, 2013063000,   , MIWU, 0, 134N, 1029W,  30, 1005, TD,
EP, 04, 2013063006,   , MIWU, 0, 143N, 1028W,  35, 1003, TS,
EP, 04, 2013063012,   , MIWU, 0, 152N, 1030W,  40, 1001, TS,
EP, 04, 2013063018,   , MIWU, 0, 158N, 1033W,  35, 1002, TS,
EP, 04, 2013070100,   , MIWU, 0, 163N, 1040W,  40, 1000, TS,
EP, 04, 2013070106,   , MIWU, 0, 168N, 1046W,  45,  998, TS,
EP, 04, 2013070112,   , MIWU, 0, 174N, 1053W,  50,  996, TS,
EP, 04, 2013070118,   , MIWU, 0, 178N, 1062W,  60,  990, TS,
EP, 04, 2013070200,   , MIWU, 0, 181N, 1066W,  60,  991, TS,
EP, 04, 2013070206,   , MIWU, 0, 183N, 1068W,  60,  990, TS,
EP, 04, 2013070212,   , MIWU, 0, 184N, 1069W,  65,  987, HU,
EP, 04, 2013070218,   , MIWU, 0, 184N, 1070W,  70,  984, HU,
EP, 04, 2013070300,   , MIWU, 0, 183N, 1072W,  65,  986, HU,
EP, 04, 2013070306,   , MIWU, 0, 181N, 1074W,  65,  986, HU,
EP, 04, 2013070312,   , MIWU, 0, 179N, 1077W,  65,  987, HU,
EP, 04, 2013070318,   , MIWU, 0, 176N, 1080W,  60,  989, TS,
EP, 04, 2013070400,   , MIWU, 0, 175N, 1084W,  55,  991, TS,
EP, 04, 2013070406,   , MIWU, 0, 175N, 1089W,  50,  993, TS,
EP, 04, 2013070412,   , MIWU, 0, 174N, 1094W,  45,  996, TS,
EP, 04, 2013070418,   , MIWU, 0, 172N, 1100W,  35, 1002, TS,
EP, 04, 2013070500,   , MIWU, 0, 170N, 1106W,  35, 1003, TS,
EP, 04, 2013070506,   , MIWU, 0, 170N, 1111W,  35, 1003, TS,
EP, 04, 2013070512,   , MIWU, 0, 170N, 1117W,  35, 1003, TS,
EP, 04, 2013070518,   , MIWU, 0, 171N, 1121W,  30, 1005, TD,
EP, 04, 2013070600,   , MIWU, 0, 171N, 1125W,  30, 1005, TD,
EP, 04, 2013070606,   , MIWU, 0, 171N, 1128W,  30, 1005, TD,
EP, 04, 2013070612,   , MIWU, 0, 170N, 1130W,  30, 1006, TD,
EP, 04, 2013070618,   , MIWU, 0, 169N, 1132W,  30, 1006, TD,
EP, 04, 2013070700,   , MIWU, 0, 166N, 1131W,  25, 1008, TD,
EP, 04, 2013070706,   , MIWU, 0, 164N, 1129W,  25, 1008, TD,
EP, 04, 2013070712,   , MIWU, 0, 165N, 1127W,  25, 1009, TD,
EP, 04, 2013070718,   , MIWU, 0, 163N, 1124W,  25, 1009, TD,
EP, 04, 2013070800,   , MIWU, 0, 164N, 1121W,  25, 1009, TD,
EP, 04, 2013070806,   , MIWU, 0, 167N, 1119W,  20, 1010, DB,
EP, 04, 2013070812,   , MIWU, 0, 172N, 1116W,  20, 1010, DB,
EP, 04, 2013070818,   , MIWU, 0, 177N, 1111W,  20, 1011, DB,
EP, 04, 2013070900,   , MIWU, 0, 183N, 1107W,  20, 1011, DB,
EP, 04, 2013070906,   , MIWU, 0, 189N, 1108W,  15, 1012, DB,
EP, 04, 2013070912,   , MIWU, 0, 196N, 1112W,  15, 1012, DB,
