EP, 12, 2002091500,   , MIWU, 0, 153N, 1034W,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Iselle,
EP, 12, 2002091506,   , MIWU, 0, 155N, 1040W,  20, 1009, DB,
EP, 12, 2002091512,   , MIWU, 0, 158N, 1047W,  25, 1008, TD,
EP, 12, 2002091518,   , MIWU, 0, 162N, 1055W,  30, 1006, TD,
EP, 12, 2002091600,   , MIWU, 0, 170N, 1066W,  35, 1004, TS,
EP, 12, 2002091606,   , MIWU, 0, 178N, 1077W,  40, 1002, TS,
EP, 12, 2002091612,   , MIWU, 0, 186N, 1090W,  45, 1000, TS,
EP, 12, 2002091618,   , MIWU, 0, 194N, 1103W,  50,  998, TS,
EP, 12, 2002091700,   , MIWU, 0, 200N, 1116W,  60,  994, TS,
EP, 12, 2002091706,   , MIWU, 0, 207N, 1127W,  60,  994, TS,
EP, 12, 2002091712,   , MIWU, 0, 213N, 1134W,  60,  995, TS,
EP, 12, 2002091718,   , MIWU, 0, 217N, 1140W,  55,  997, TS,
EP, 12, 2002091800,   , MIWU, 0, 219N, 1144W,  50,  999, TS,
EP, 12, 2002091806,   , MIWU, 0, 221N, 1145W,  40, 1003, TS,
EP, 12, 2002091812,   , MIWU, 0, 223N, 1142W,  35, 1005, TS,
EP, 12, 2002091818,   , MIWU, 0, 224N, 1139W,  35, 1006, TS,
EP, 12, 2002091900,   , MIWU, 0, 226N, 1137W,  40, 1004, TS,
EP, 12, 2002091906,   , MIWU, 0, 229N, 1134W,  40, 1003, TS,
EP, 12, 2002091912,   , MIWU, 0, 233N, 1130W,  35, 1005, TS,
EP, 12, 2002091918,   , MIWU, 0, 236N, 1125W,  30, 1006, TD,
EP, 12, 2002092000,   , MIWU, 0, 240N, 1123W,  25, 1007, TD,
EP, 12, 2002092006,   , MIWU, 0, 244N, 1124W,  20, 1008, DB,
EP, 12, 2002092012,   , MIWU, 0, 249N, 1129W,  20, 1009, DB,
EP, 12, 2002092018,   , MIWU, 0, 255N, 1136W,  20, 1009, DB,
EP, 12, 2002092100,   , MIWU, 0, 260N, 1145W,  15, 1010, DB,
EP, 12, 2002092106,   , MIWU, 0, 262N, 1151W,  15, 1010, DB,
EP, 12, 2002092112,   , MIWU, 0, 263N, 1156W,  15, 1010, DB,
EP, 12, 2002092118,   , MIWU, 0, 263N, 1160W,  15, 1010, DB,
EP, 12, 2002092200,   , MIWU, 0, 262N, 1163W,  15, 1011, DB,
EP, 12, 2002092206,   , MIWU, 0, 261N, 1165W,  15, 1011, DB,
