EP, 14, 2002102018,   , MIWU, 0, 104N,  940W,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Kenna,
EP, 14, 2002102100,   , MIWU, 0, 109N,  949W,  20, 1010, DB,
EP, 14, 2002102106,   , MIWU, 0, 112N,  960W,  20, 1010, DB,
EP, 14, 2002102112,   , MIWU, 0, 115N,  972W,  25, 1009, TD,
EP, 14, 2002102118,   , MIWU, 0, 116N,  984W,  30, 1008, TD,
EP, 14, 2002102200,   , MIWU, 0, 116N,  994W,  30, 1008, TD,
EP, 14, 2002102206,   , MIWU, 0, 117N, 1003W,  30, 1007, TD,
EP, 14, 2002102212,   , MIWU, 0, 119N, 1014W,  35, 1005, TS,
EP, 14, 2002102218,   , MIWU, 0, 121N, 1025W,  35, 1004, TS,
EP, 14, 2002102300,   , MIWU, 0, 125N, 1035W,  40, 1002, TS,
EP, 14, 2002102306,   , MIWU, 0, 130N, 1045W,  50,  996, TS,
EP, 14, 2002102312,   , MIWU, 0, 136N, 1056W,  65,  987, HU,
EP, 14, 2002102318,   , MIWU, 0, 142N, 1069W,  80,  980, HU,
EP, 14, 2002102400,   , MIWU, 0, 149N, 1078W,  95,  970, HU,
EP, 14, 2002102406,   , MIWU, 0, 155N, 1083W, 110,  955, HU,
EP, 14, 2002102412,   , MIWU, 0, 163N, 1087W, 135,  930, HU,
EP, 14, 2002102418,   , MIWU, 0, 173N, 1087W, 140,  915, HU,
EP, 14, 2002102500,   , MIWU, 0, 183N, 1083W, 145,  912, HU,
EP, 14, 2002102506,   , MIWU, 0, 193N, 1076W, 140,  912, HU,
EP, 14, 2002102512,   , MIWU, 0, 207N, 1063W, 125,  927, HU,
EP, 14, 2002102516, 32, MIWU, 0, 217N, 1055W, 110,  950, HU,
EP, 14, 2002102518,   , MIWU, 0, 225N, 1047W,  90,  970, HU,
EP, 14, 2002102600,   , MIWU, 0, 240N, 1030W,  40, 1002, TS,
EP, 14, 2002102606,   , MIWU, 0, 250N, 1015W,  20, 1010, LO,
