WP, 16, 1987092918, , MIWU, 0, 273N, 1731E,  95,  948, TY,
WP, 16, 1987093000, , MIWU, 0, 283N, 1719E, 100,  946, TY,
WP, 16, 1987093006, , MIWU, 0, 293N, 1708E, 100,  947, TY,
WP, 16, 1987093012, , MIWU, 0, 303N, 1699E,  95,  950, TY,
WP, 16, 1987093018, , MIWU, 0, 311N, 1694E,  90,  953, TY,
WP, 16, 1987100100, , MIWU, 0, 316N, 1692E,  85,  956, TY,
WP, 16, 1987100106, , MIWU, 0, 318N, 1693E,  80,  959, TY,
WP, 16, 1987100112, , MIWU, 0, 319N, 1695E,  70,  965, TY,
WP, 16, 1987100118, , MIWU, 0, 317N, 1699E,  65,  969, TY,
WP, 16, 1987100200, , MIWU, 0, 311N, 1703E,  55,  977, TS,
WP, 16, 1987100206, , MIWU, 0, 305N, 1710E,  50,  981, TS,
WP, 16, 1987100212, , MIWU, 0, 299N, 1716E,  45,  985, TS,
WP, 16, 1987100218, , MIWU, 0, 294N, 1723E,  40,  989, TS,
WP, 16, 1987100300, , MIWU, 0, 290N, 1729E,  40,  991, TS,
WP, 16, 1987100306, , MIWU, 0, 287N, 1733E,  40,  991, TS,
WP, 16, 1987100312, , MIWU, 0, 285N, 1735E,  40,  990, TS,
WP, 16, 1987100318, , MIWU, 0, 284N, 1738E,  40,  990, TS,
WP, 16, 1987100400, , MIWU, 0, 284N, 1740E,  40,  991, TS,
WP, 16, 1987100406, , MIWU, 0, 285N, 1741E,  35,  994, SS,
WP, 16, 1987100412, , MIWU, 0, 288N, 1739E,  30,  998, SD,
WP, 16, 1987100418, , MIWU, 0, 290N, 1735E,  30, 1000, SD,
WP, 16, 1987100500, , MIWU, 0, 291N, 1730E,  25, 1004, SD,
WP, 16, 1987100506, , MIWU, 0, 292N, 1725E,  25, 1006, SD,
WP, 16, 1987100512, , MIWU, 0, 294N, 1720E,  25, 1006, SD,
WP, 16, 1987100518, , MIWU, 0, 298N, 1716E,  30, 1004, SD,
WP, 16, 1987100600, , MIWU, 0, 304N, 1715E,  30, 1002, SD,
WP, 16, 1987100606, , MIWU, 0, 310N, 1718E,  35,  999, SS,
WP, 16, 1987100612, , MIWU, 0, 314N, 1726E,  40,  996, SS,
WP, 16, 1987100618, , MIWU, 0, 316N, 1738E,  45,  993, SS,
WP, 16, 1987100700, , MIWU, 0, 319N, 1753E,  45,  992, SS,
WP, 16, 1987100706, , MIWU, 0, 325N, 1770E,  50,  990, EX,
WP, 16, 1987100712, , MIWU, 0, 331N, 1788E,  50,  989, EX,
WP, 16, 1987100718, , MIWU, 0, 332N, 1798E,  45,  991, EX,
WP, 16, 1987100800, , MIWU, 0, 332N, 1796W,  40,  993, EX,
WP, 16, 1987100806, , MIWU, 0, 330N, 1792W,  35,  995, EX,
WP, 16, 1987100812, , MIWU, 0, 326N, 1787W,  30,  997, EX,
WP, 16, 1987100818, , MIWU, 0, 320N, 1783W,  30,  998, EX,
WP, 16, 1987100900, , MIWU, 0, 318N, 1779W,  25, 1000, EX,
WP, 16, 1987100906, , MIWU, 0, 319N, 1774W,  25, 1001, EX,
WP, 16, 1987100912, , MIWU, 0, 321N, 1769W,  25, 1001, EX,
WP, 16, 1987100918, , MIWU, 0, 324N, 1763W,  20, 1003, EX,
WP, 16, 1987101000, , MIWU, 0, 327N, 1756W,  20, 1003, EX,
WP, 16, 1987101006, , MIWU, 0, 329N, 1749W,  20, 1004, EX,
