WP, 06, 1987071506, , MIWU, 0,  92N, 1459E,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Vernon,
WP, 06, 1987071512, , MIWU, 0, 103N, 1446E,  20, 1009, DB,
WP, 06, 1987071518, , MIWU, 0, 110N, 1433E,  20, 1008, DB,
WP, 06, 1987071600, , MIWU, 0, 113N, 1420E,  25, 1006, TD,
WP, 06, 1987071606, , MIWU, 0, 116N, 1406E,  30, 1004, TD,
WP, 06, 1987071612, , MIWU, 0, 119N, 1392E,  35, 1002, TS,
WP, 06, 1987071618, , MIWU, 0, 121N, 1375E,  35, 1001, TS,
WP, 06, 1987071700, , MIWU, 0, 122N, 1353E,  40,  999, TS,
WP, 06, 1987071706, , MIWU, 0, 122N, 1331E,  45,  997, TS,
WP, 06, 1987071712, , MIWU, 0, 123N, 1310E,  45,  997, TS,
WP, 06, 1987071718, , MIWU, 0, 127N, 1297E,  45,  996, TS,
WP, 06, 1987071800, , MIWU, 0, 131N, 1289E,  50,  994, TS,
WP, 06, 1987071806, , MIWU, 0, 137N, 1285E,  50,  994, TS,
WP, 06, 1987071812, , MIWU, 0, 143N, 1281E,  50,  993, TS,
WP, 06, 1987071818, , MIWU, 0, 150N, 1275E,  50,  992, TS,
WP, 06, 1987071900, , MIWU, 0, 159N, 1267E,  55,  988, TS,
WP, 06, 1987071906, , MIWU, 0, 169N, 1259E,  60,  984, TS,
WP, 06, 1987071912, , MIWU, 0, 180N, 1253E,  60,  982, TS,
WP, 06, 1987071918, , MIWU, 0, 187N, 1247E,  55,  982, TS,
WP, 06, 1987072000, , MIWU, 0, 193N, 1242E,  60,  980, TS,
WP, 06, 1987072006, , MIWU, 0, 201N, 1235E,  60,  980, TS,
WP, 06, 1987072012, , MIWU, 0, 211N, 1230E,  60,  981, TS,
WP, 06, 1987072018, , MIWU, 0, 220N, 1226E,  60,  980, TS,
WP, 06, 1987072100, , MIWU, 0, 231N, 1223E,  60,  981, TS,
WP, 06, 1987072106, , MIWU, 0, 248N, 1221E,  55,  984, TS,
WP, 06, 1987072112, , MIWU, 0, 260N, 1216E,  45,  992, TS,
WP, 06, 1987072118, , MIWU, 0, 272N, 1217E,  35,  998, TS,
WP, 06, 1987072200, , MIWU, 0, 287N, 1223E,  30, 1001, TD,
WP, 06, 1987072206, , MIWU, 0, 306N, 1235E,  25, 1003, TD,
WP, 06, 1987072212, , MIWU, 0, 321N, 1250E,  25, 1004, EX,
WP, 06, 1987072218, , MIWU, 0, 330N, 1268E,  20, 1006, EX,
