EP, 02, 2024072306,   , MIWU, 0, 142N, 1050W,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Bud,
EP, 02, 2024072312,   , MIWU, 0, 145N, 1060W,  20, 1010, DB,
EP, 02, 2024072318,   , MIWU, 0, 148N, 1070W,  20, 1010, DB,
EP, 02, 2024072400,   , MIWU, 0, 152N, 1081W,  20, 1010, DB,
EP, 02, 2024072406,   , MIWU, 0, 157N, 1093W,  25, 1008, TD,
EP, 02, 2024072412,   , MIWU, 0, 162N, 1105W,  35, 1006, TS,
EP, 02, 2024072418,   , MIWU, 0, 167N, 1118W,  40, 1004, TS,
EP, 02, 2024072500,   , MIWU, 0, 172N, 1130W,  40, 1004, TS,
EP, 02, 2024072506,   , MIWU, 0, 178N, 1141W,  50, 1000, TS,
EP, 02, 2024072512,   , MIWU, 0, 181N, 1153W,  50,  999, TS,
EP, 02, 2024072518,   , MIWU, 0, 183N, 1166W,  50,  999, TS,
EP, 02, 2024072600,   , MIWU, 0, 185N, 1176W,  45, 1000, TS,
EP, 02, 2024072606,   , MIWU, 0, 188N, 1186W,  40, 1002, TS,
EP, 02, 2024072612,   , MIWU, 0, 190N, 1195W,  35, 1004, LO,
EP, 02, 2024072618,   , MIWU, 0, 192N, 1203W,  30, 1006, LO,
EP, 02, 2024072700,   , MIWU, 0, 194N, 1212W,  30, 1006, LO,
EP, 02, 2024072706,   , MIWU, 0, 193N, 1221W,  30, 1006, LO,
EP, 02, 2024072712,   , MIWU, 0, 191N, 1230W,  25, 1008, LO,
EP, 02, 2024072718,   , MIWU, 0, 188N, 1238W,  25, 1008, LO,
EP, 02, 2024072800,   , MIWU, 0, 184N, 1246W,  25, 1008, LO,
EP, 02, 2024072806,   , MIWU, 0, 179N, 1253W,  20, 1010, LO,
EP, 02, 2024072812,   , MIWU, 0, 174N, 1260W,  20, 1010, LO,
EP, 02, 2024072818,   , MIWU, 0, 170N, 1268W,  15, 1011, LO,
EP, 02, 2024072900,   , MIWU, 0, 164N, 1276W,  15, 1011, LO,
EP, 02, 2024072906,   , MIWU, 0, 158N, 1284W,  15, 1011, LO,
EP, 02, 2024072912,   , MIWU, 0, 152N, 1294W,  15, 1011, LO,
EP, 02, 2024072918,   , MIWU, 0, 146N, 1304W,  15, 1011, LO,
EP, 02, 2024073000,   , MIWU, 0, 141N, 1315W,  15, 1011, LO,
EP, 02, 2024073006,   , MIWU, 0, 137N, 1327W,  15, 1011, LO,
