EP, 07, 2024081612,   , MIWU, 0, 119N, 1032W,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Gilma,
EP, 07, 2024081618,   , MIWU, 0, 124N, 1039W,  20, 1010, DB,
EP, 07, 2024081700,   , MIWU, 0, 129N, 1047W,  20, 1010, DB,
EP, 07, 2024081706,   , MIWU, 0, 133N, 1056W,  25, 1009, TD,
EP, 07, 2024081712,   , MIWU, 0, 136N, 1066W,  30, 1008, TD,
EP, 07, 2024081718,   , MIWU, 0, 138N, 1077W,  30, 1008, TD,
EP, 07, 2024081800,   , MIWU, 0, 139N, 1088W,  30, 1008, TD,
EP, 07, 2024081806,   , MIWU, 0, 141N, 1100W,  35, 1007, TS,
EP, 07, 2024081812,   , MIWU, 0, 143N, 1112W,  35, 1006, TS,
EP, 07, 2024081818,   , MIWU, 0, 145N, 1124W,  40, 1004, TS,
EP, 07, 2024081900,   , MIWU, 0, 147N, 1135W,  40, 1003, TS,
EP, 07, 2024081906,   , MIWU, 0, 148N, 1145W,  45, 1001, TS,
EP, 07, 2024081912,   , MIWU, 0, 149N, 1154W,  50,  999, TS,
EP, 07, 2024081918,   , MIWU, 0, 150N, 1163W,  50,  998, TS,
EP, 07, 2024082000,   , MIWU, 0, 151N, 1171W,  45, 1000, TS,
EP, 07, 2024082006,   , MIWU, 0, 152N, 1178W,  45, 1000, TS,
EP, 07, 2024082012,   , MIWU, 0, 153N, 1188W,  50,  998, TS,
EP, 07, 2024082018,   , MIWU, 0, 154N, 1200W,  60,  992, TS,
EP, 07, 2024082100,   , MIWU, 0, 155N, 1211W,  65,  989, HU,
EP, 07, 2024082106,   , MIWU, 0, 157N, 1220W,  75,  983, HU,
EP, 07, 2024082112,   , MIWU, 0, 159N, 1226W,  85,  977, HU,
EP, 07, 2024082118,   , MIWU, 0, 162N, 1231W,  90,  974, HU,
EP, 07, 2024082200,   , MIWU, 0, 164N, 1235W,  95,  971, HU,
EP, 07, 2024082206,   , MIWU, 0, 165N, 1239W, 100,  968, HU,
EP, 07, 2024082212,   , MIWU, 0, 166N, 1243W, 105,  965, HU,
EP, 07, 2024082218,   , MIWU, 0, 168N, 1247W, 110,  962, HU,
EP, 07, 2024082221,   , MIWU, 0, 170N, 1249W, 115,  959, HU,
EP, 07, 2024082300,   , MIWU, 0, 171N, 1252W, 110,  961, HU,
EP, 07, 2024082306,   , MIWU, 0, 172N, 1258W, 105,  963, HU,
EP, 07, 2024082312,   , MIWU, 0, 173N, 1264W, 100,  965, HU,
EP, 07, 2024082318,   , MIWU, 0, 174N, 1272W,  90,  969, HU,
EP, 07, 2024082400,   , MIWU, 0, 175N, 1280W,  90,  968, HU,
EP, 07, 2024082406,   , MIWU, 0, 176N, 1288W,  95,  965, HU,
EP, 07, 2024082412,   , MIWU, 0, 177N, 1297W, 105,  959, HU,
EP, 07, 2024082418,   , MIWU, 0, 178N, 1306W, 115,  953, HU,
EP, 07, 2024082422,   , MIWU, 0, 178N, 1311W, 125,  947, HU,
EP, 07, 2024082500,   , MIWU, 0, 178N, 1315W, 125,  946, HU,
EP, 07, 2024082506,   , MIWU, 0, 179N, 1323W, 120,  949, HU,
EP, 07, 2024082512,   , MIWU, 0, 180N, 1332W, 105,  958, HU,
EP, 07, 2024082518,   , MIWU, 0, 180N, 1340W,  95,  966, HU,
EP, 07, 2024082600,   , MIWU, 0, 180N, 1349W,  95,  965, HU,
EP, 07, 2024082606,   , MIWU, 0, 181N, 1356W,  95,  965, HU,
EP, 07, 2024082612,   , MIWU, 0, 182N, 1363W, 100,  963, HU,
EP, 07, 2024082618,   , MIWU, 0, 183N, 1370W, 100,  962, HU,
EP, 07, 2024082700,   , MIWU, 0, 184N, 1379W,  95,  965, HU,
EP, 07, 2024082706,   , MIWU, 0, 185N, 1389W,  85,  972, HU,
EP, 07, 2024082712,   , MIWU, 0, 184N, 1400W,  70,  984, HU,
EP, 07, 2024082718,   , MIWU, 0, 183N, 1414W,  55,  994, TS,
EP, 07, 2024082800,   , MIWU, 0, 183N, 1427W,  45,  998, TS,
EP, 07, 2024082806,   , MIWU, 0, 183N, 1439W,  45,  999, TS,
EP, 07, 2024082812,   , MIWU, 0, 185N, 1451W,  40, 1001, TS,
EP, 07, 2024082818,   , MIWU, 0, 189N, 1464W,  40, 1001, TS,
EP, 07, 2024082900,   , MIWU, 0, 193N, 1476W,  35, 1003, TS,
EP, 07, 2024082906,   , MIWU, 0, 196N, 1489W,  35, 1004, TS,
EP, 07, 2024082912,   , MIWU, 0, 199N, 1502W,  30, 1006, TD,
EP, 07, 2024082918,   , MIWU, 0, 203N, 1512W,  30, 1006, TD,
EP, 07, 2024083000,   , MIWU, 0, 207N, 1523W,  30, 1005, TD,
EP, 07, 2024083006,   , MIWU, 0, 209N, 1534W,  30, 1005, TD,
EP, 07, 2024083012,   , MIWU, 0, 210N, 1545W,  30, 1005, TD,
EP, 07, 2024083018,   , MIWU, 0, 213N, 1554W,  25, 1007, LO,
EP, 07, 2024083100,   , MIWU, 0, 218N, 1564W,  25, 1007, LO,
EP, 07, 2024083106,   , MIWU, 0, 224N, 1574W,  25, 1007, LO,
EP, 07, 2024083112,   , MIWU, 0, 232N, 1585W,  30, 1005, TD,
EP, 07, 2024083118,   , MIWU, 0, 240N, 1597W,  30, 1005, TD,
EP, 07, 2024090100,   , MIWU, 0, 247N, 1606W,  30, 1005, LO,
EP, 07, 2024090106,   , MIWU, 0, 253N, 1614W,  25, 1007, LO,
EP, 07, 2024090112,   , MIWU, 0, 261N, 1624W,  25, 1007, LO,
EP, 07, 2024090118,   , MIWU, 0, 270N, 1632W,  20, 1009, LO,
EP, 07, 2024090200,   , MIWU, 0, 281N, 1638W,  20, 1009, LO,
EP, 07, 2024090206,   , MIWU, 0, 294N, 1637W,  20, 1009, LO,
EP, 07, 2024090212,   , MIWU, 0, 305N, 1634W,  20, 1010, EX,
EP, 07, 2024090218,   , MIWU, 0, 315N, 1627W,  20, 1010, EX,
EP, 07, 2024090300,   , MIWU, 0, 325N, 1610W,  25, 1008, EX,
EP, 07, 2024090306,   , MIWU, 0, 334N, 1590W,  25, 1008, EX,
EP, 07, 2024090312,   , MIWU, 0, 342N, 1565W,  25, 1007, EX,
EP, 07, 2024090318,   , MIWU, 0, 349N, 1539W,  30, 1005, EX,
EP, 07, 2024090400,   , MIWU, 0, 354N, 1515W,  30, 1004, EX,
EP, 07, 2024090406,   , MIWU, 0, 360N, 1498W,  30, 1004, EX,
EP, 07, 2024090412,   , MIWU, 0, 368N, 1485W,  25, 1006, EX,
EP, 07, 2024090418,   , MIWU, 0, 378N, 1475W,  20, 1008, EX,
EP, 07, 2024090500,   , MIWU, 0, 390N, 1467W,  15, 1010, EX,
