WP, 25, 1998120812,   , MIWU, 0,  74N, 1136E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Gil,
WP, 25, 1998120818,   , MIWU, 0,  73N, 1124E,  20, 1006, DB,
WP, 25, 1998120900,   , MIWU, 0,  74N, 1114E,  25, 1004, TD,
WP, 25, 1998120906,   , MIWU, 0,  75N, 1104E,  30, 1002, TD,
WP, 25, 1998120912,   , MIWU, 0,  76N, 1095E,  30, 1001, TD,
WP, 25, 1998120918,   , MIWU, 0,  77N, 1087E,  35,  999, TS,
WP, 25, 1998121000,   , MIWU, 0,  78N, 1080E,  40,  996, TS,
WP, 25, 1998121006,   , MIWU, 0,  79N, 1073E,  40,  997, TS,
WP, 25, 1998121012,   , MIWU, 0,  80N, 1065E,  35,  999, TS,
WP, 25, 1998121018,   , MIWU, 0,  81N, 1057E,  30, 1001, TD,
WP, 25, 1998121100,   , MIWU, 0,  82N, 1050E,  30, 1002, TD,
WP, 25, 1998121106,   , MIWU, 0,  83N, 1042E,  30, 1002, TD,
WP, 25, 1998121112,   , MIWU, 0,  83N, 1033E,  35, 1000, TS,
WP, 25, 1998121118,   , MIWU, 0,  83N, 1024E,  40,  998, TS,
WP, 25, 1998121200,   , MIWU, 0,  82N, 1015E,  35,  999, TS,
WP, 25, 1998121206,   , MIWU, 0,  80N, 1008E,  35, 1000, TS,
WP, 25, 1998121212,   , MIWU, 0,  78N, 1002E,  30, 1003, TD,
WP, 25, 1998121218,   , MIWU, 0,  78N,  998E,  20, 1008, DB,
WP, 25, 1998121300,   , MIWU, 0,  80N,  996E,  10, 1012, DB,
