WP, 13, 1998091818,   , MIWU, 0, 196N, 1369E,  20, 1005, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Waldo,
WP, 13, 1998091900,   , MIWU, 0, 202N, 1375E,  20, 1004, LO,
WP, 13, 1998091906,   , MIWU, 0, 209N, 1378E,  25, 1002, LO,
WP, 13, 1998091912,   , MIWU, 0, 220N, 1380E,  30,  999, LO,
WP, 13, 1998091918,   , MIWU, 0, 230N, 1381E,  35,  996, LO,
WP, 13, 1998092000,   , MIWU, 0, 239N, 1378E,  35,  995, LO,
WP, 13, 1998092006,   , MIWU, 0, 248N, 1370E,  40,  992, LO,
WP, 13, 1998092012,   , MIWU, 0, 260N, 1366E,  40,  991, TS,
WP, 13, 1998092018,   , MIWU, 0, 278N, 1363E,  40,  991, TS,
WP, 13, 1998092100,   , MIWU, 0, 300N, 1360E,  35,  993, TS,
WP, 13, 1998092106,   , MIWU, 0, 328N, 1358E,  35,  993, TS,
WP, 13, 1998092112,   , MIWU, 0, 356N, 1362E,  30,  995, EX,
WP, 13, 1998092118,   , MIWU, 0, 384N, 1376E,  25,  998, EX,
