EP, 05, 2023081812,   , MIWU, 0, 324N, 1672E,  40, 1001, SS,
EP, 05, 2023081818,   , MIWU, 0, 326N, 1675E,  35, 1002, SS,
EP, 05, 2023081900,   , MIWU, 0, 328N, 1679E,  30, 1004, SD,
EP, 05, 2023081906,   , MIWU, 0, 330N, 1684E,  35, 1002, SS,
EP, 05, 2023081912,   , MIWU, 0, 330N, 1690E,  35, 1001, SS,
EP, 05, 2023081918,   , MIWU, 0, 329N, 1698E,  40,  999, SS,
EP, 05, 2023082000,   , MIWU, 0, 328N, 1707E,  40,  998, SS,
EP, 05, 2023082006,   , MIWU, 0, 328N, 1717E,  40,  998, SS,
EP, 05, 2023082012,   , MIWU, 0, 328N, 1726E,  40,  998, SS,
EP, 05, 2023082018,   , MIWU, 0, 328N, 1736E,  35, 1000, SS,
EP, 05, 2023082100,   , MIWU, 0, 330N, 1748E,  35, 1001, SS,
EP, 05, 2023082106,   , MIWU, 0, 334N, 1760E,  40,  999, SS,
EP, 05, 2023082112,   , MIWU, 0, 341N, 1773E,  40,  998, SS,
EP, 05, 2023082118,   , MIWU, 0, 351N, 1787E,  40,  997, SS,
EP, 05, 2023082200,   , MIWU, 0, 362N, 1799W,  40,  997, EX,
EP, 05, 2023082206,   , MIWU, 0, 373N, 1785W,  35,  999, EX,
EP, 05, 2023082212,   , MIWU, 0, 383N, 1769W,  30, 1001, EX,
EP, 05, 2023082218,   , MIWU, 0, 396N, 1751W,  30, 1002, EX,
EP, 05, 2023082300,   , MIWU, 0, 411N, 1732W,  25, 1004, EX,
