EP, 04, 2023071906,   , MIWU, 0, 117N, 1122W,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Four-E,
EP, 04, 2023071912,   , MIWU, 0, 119N, 1135W,  20, 1008, DB,
EP, 04, 2023071918,   , MIWU, 0, 120N, 1149W,  20, 1007, DB,
EP, 04, 2023072000,   , MIWU, 0, 122N, 1165W,  20, 1007, DB,
EP, 04, 2023072006,   , MIWU, 0, 125N, 1180W,  25, 1006, TD,
EP, 04, 2023072012,   , MIWU, 0, 127N, 1191W,  25, 1006, TD,
EP, 04, 2023072018,   , MIWU, 0, 130N, 1200W,  30, 1005, TD,
EP, 04, 2023072100,   , MIWU, 0, 136N, 1208W,  35, 1004, TS,
EP, 04, 2023072106,   , MIWU, 0, 144N, 1218W,  40, 1002, TS,
EP, 04, 2023072112,   , MIWU, 0, 150N, 1227W,  40, 1001, TS,
EP, 04, 2023072118,   , MIWU, 0, 156N, 1242W,  30, 1005, TD,
EP, 04, 2023072200,   , MIWU, 0, 160N, 1258W,  25, 1007, TD,
EP, 04, 2023072206,   , MIWU, 0, 163N, 1272W,  20, 1008, DB,
EP, 04, 2023072212,   , MIWU, 0, 164N, 1286W,  20, 1008, DB,
EP, 04, 2023072218,   , MIWU, 0, 164N, 1299W,  20, 1008, DB,
EP, 04, 2023072300,   , MIWU, 0, 165N, 1312W,  20, 1008, DB,
EP, 04, 2023072306,   , MIWU, 0, 165N, 1322W,  15, 1009, DB,
EP, 04, 2023072312,   , MIWU, 0, 164N, 1332W,  15, 1009, DB,
