EP, 06, 2023080406,   , MIWU, 0, 156N, 1015W,  15, 1011, DB,  0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Eugene,
EP, 06, 2023080412,   , MIWU, 0, 159N, 1025W,  20, 1010, DB,
EP, 06, 2023080418,   , MIWU, 0, 161N, 1034W,  25, 1009, TD,
EP, 06, 2023080500,   , MIWU, 0, 164N, 1041W,  30, 1007, TD,
EP, 06, 2023080506,   , MIWU, 0, 170N, 1050W,  30, 1006, TD,
EP, 06, 2023080512,   , MIWU, 0, 176N, 1060W,  35, 1004, TS,
EP, 06, 2023080518,   , MIWU, 0, 187N, 1070W,  45, 1000, TS,
EP, 06, 2023080600,   , MIWU, 0, 195N, 1080W,  55,  996, TS,
EP, 06, 2023080606,   , MIWU, 0, 203N, 1092W,  70,  990, HU,
EP, 06, 2023080612,   , MIWU, 0, 214N, 1106W,  70,  989, HU,
EP, 06, 2023080618,   , MIWU, 0, 223N, 1122W,  60,  993, TS,
EP, 06, 2023080700,   , MIWU, 0, 230N, 1142W,  55,  995, TS,
EP, 06, 2023080706,   , MIWU, 0, 237N, 1162W,  45,  999, TS,
EP, 06, 2023080712,   , MIWU, 0, 243N, 1180W,  35, 1003, LO,
EP, 06, 2023080718,   , MIWU, 0, 248N, 1199W,  30, 1005, LO,
EP, 06, 2023080800,   , MIWU, 0, 251N, 1210W,  30, 1006, LO,
EP, 06, 2023080806,   , MIWU, 0, 253N, 1219W,  25, 1007, LO,
EP, 06, 2023080812,   , MIWU, 0, 257N, 1225W,  20, 1008, LO,
EP, 06, 2023080818,   , MIWU, 0, 261N, 1229W,  20, 1008, LO,
EP, 06, 2023080900,   , MIWU, 0, 264N, 1228W,  20, 1008, LO,
EP, 06, 2023080906,   , MIWU, 0, 267N, 1225W,  15, 1009, LO,
EP, 06, 2023080912,   , MIWU, 0, 270N, 1220W,  15, 1009, LO,
EP, 06, 2023080918,   , MIWU, 0, 272N, 1214W,  15, 1009, LO,
EP, 06, 2023081000,   , MIWU, 0, 273N, 1208W,  15, 1009, LO,
