WP, 09, 2025071512,   , MIWU, 0, 124N, 1338E,  25, 1000, LO, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Wipha,
WP, 09, 2025071518,   , MIWU, 0, 120N, 1325E,  25, 1000, LO,
WP, 09, 2025071600,   , MIWU, 0, 120N, 1310E,  25, 1000, LO,
WP, 09, 2025071606,   , MIWU, 0, 123N, 1294E,  25, 1000, LO,
WP, 09, 2025071612,   , MIWU, 0, 130N, 1280E,  30,  997, LO,
WP, 09, 2025071618,   , MIWU, 0, 141N, 1272E,  30,  996, LO,
WP, 09, 2025071700,   , MIWU, 0, 151N, 1266E,  30,  996, LO,
WP, 09, 2025071706,   , MIWU, 0, 158N, 1260E,  35,  994, LO,
WP, 09, 2025071712,   , MIWU, 0, 165N, 1254E,  35,  993, LO,
WP, 09, 2025071718,   , MIWU, 0, 171N, 1249E,  40,  990, TS,
WP, 09, 2025071800,   , MIWU, 0, 175N, 1245E,  40,  990, TS,
WP, 09, 2025071806,   , MIWU, 0, 180N, 1239E,  45,  987, TS,
WP, 09, 2025071812,   , MIWU, 0, 187N, 1230E,  45,  987, TS,
WP, 09, 2025071818,   , MIWU, 0, 196N, 1218E,  50,  984, TS,
WP, 09, 2025071900,   , MIWU, 0, 202N, 1203E,  50,  983, TS,
WP, 09, 2025071906,   , MIWU, 0, 207N, 1189E,  55,  980, TS,
WP, 09, 2025071912,   , MIWU, 0, 213N, 1175E,  65,  972, TY,
WP, 09, 2025071918,   , MIWU, 0, 216N, 1160E,  70,  968, TY,
WP, 09, 2025072000,   , MIWU, 0, 218N, 1146E,  75,  965, TY,
WP, 09, 2025072006,   , MIWU, 0, 219N, 1132E,  75,  965, TY,
WP, 09, 2025072012,   , MIWU, 0, 219N, 1118E,  60,  976, TS,
WP, 09, 2025072018,   , MIWU, 0, 217N, 1105E,  45,  985, TS,
WP, 09, 2025072100,   , MIWU, 0, 215N, 1095E,  45,  985, TS,
WP, 09, 2025072106,   , MIWU, 0, 212N, 1086E,  50,  982, TS,
WP, 09, 2025072112,   , MIWU, 0, 209N, 1079E,  55,  980, TS,
WP, 09, 2025072118,   , MIWU, 0, 205N, 1073E,  60,  978, TS,
WP, 09, 2025072200,   , MIWU, 0, 202N, 1068E,  50,  982, TS,
WP, 09, 2025072206,   , MIWU, 0, 201N, 1062E,  40,  986, TS,
WP, 09, 2025072212,   , MIWU, 0, 200N, 1055E,  30,  992, TD,
WP, 09, 2025072218,   , MIWU, 0, 198N, 1046E,  25,  995, TD,
WP, 09, 2025072300,   , MIWU, 0, 198N, 1036E,  20,  998, DB,
WP, 09, 2025072306,   , MIWU, 0, 197N, 1024E,  15, 1002, DB,
