WP, 02, 2025062106,   , MIWU, 0, 210N, 1472E,  25, 1008, LO, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Sepat,
WP, 02, 2025062112,   , MIWU, 0, 216N, 1473E,  25, 1008, LO,
WP, 02, 2025062118,   , MIWU, 0, 220N, 1473E,  25, 1008, LO,
WP, 02, 2025062200,   , MIWU, 0, 223N, 1470E,  30, 1006, TD,
WP, 02, 2025062206,   , MIWU, 0, 226N, 1465E,  30, 1006, TD,
WP, 02, 2025062212,   , MIWU, 0, 232N, 1460E,  30, 1005, TD,
WP, 02, 2025062218,   , MIWU, 0, 240N, 1455E,  30, 1005, TD,
WP, 02, 2025062300,   , MIWU, 0, 250N, 1448E,  35, 1002, TS,
WP, 02, 2025062306,   , MIWU, 0, 260N, 1440E,  45,  996, TS,
WP, 02, 2025062312,   , MIWU, 0, 272N, 1429E,  45,  996, TS,
WP, 02, 2025062318,   , MIWU, 0, 282N, 1419E,  40,  998, TS,
WP, 02, 2025062400,   , MIWU, 0, 292N, 1410E,  40,  998, TS,
WP, 02, 2025062406,   , MIWU, 0, 300N, 1405E,  35, 1000, TS,
WP, 02, 2025062412,   , MIWU, 0, 306N, 1401E,  30, 1002, TD,
WP, 02, 2025062418,   , MIWU, 0, 312N, 1398E,  30, 1002, TD,
WP, 02, 2025062500,   , MIWU, 0, 320N, 1396E,  30, 1002, TD,
WP, 02, 2025062506,   , MIWU, 0, 328N, 1395E,  30, 1002, TD,
WP, 02, 2025062512,   , MIWU, 0, 336N, 1397E,  35, 1000, TS,
WP, 02, 2025062518,   , MIWU, 0, 345N, 1402E,  35, 1000, TS,
WP, 02, 2025062600,   , MIWU, 0, 357N, 1415E,  35, 1000, TS,
WP, 02, 2025062606,   , MIWU, 0, 372N, 1435E,  40,  998, EX,
WP, 02, 2025062612,   , MIWU, 0, 389N, 1457E,  40,  998, EX,
WP, 02, 2025062618,   , MIWU, 0, 410N, 1484E,  40,  997, EX,
WP, 02, 2025062700,   , MIWU, 0, 430N, 1511E,  40,  997, EX,
WP, 02, 2025062706,   , MIWU, 0, 450N, 1536E,  35, 1000, EX,
