WP, 13, 2025073106,   , MIWU, 0, 248N, 1310E,  25,  998, LO, 34, NEQ,   0,   0,   0,   0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Bailu,
WP, 13, 2025073112,   , MIWU, 0, 248N, 1319E,  25,  998, LO,
WP, 13, 2025073118,   , MIWU, 0, 248N, 1329E,  25,  998, LO,
WP, 13, 2025080100,   , MIWU, 0, 250N, 1339E,  25,  998, LO,
WP, 13, 2025080106,   , MIWU, 0, 254N, 1350E,  30,  995, LO,
WP, 13, 2025080112,   , MIWU, 0, 260N, 1360E,  30,  995, LO,
WP, 13, 2025080118,   , MIWU, 0, 268N, 1365E,  30,  995, TD,
WP, 13, 2025080200,   , MIWU, 0, 276N, 1370E,  30,  995, TD,
WP, 13, 2025080206,   , MIWU, 0, 284N, 1380E,  30,  995, TD,
WP, 13, 2025080212,   , MIWU, 0, 295N, 1392E,  30,  995, TD,
WP, 13, 2025080218,   , MIWU, 0, 310N, 1404E,  35,  992, TS,
WP, 13, 2025080300,   , MIWU, 0, 327N, 1420E,  35,  992, TS,
WP, 13, 2025080306,   , MIWU, 0, 344N, 1434E,  40,  989, TS,
WP, 13, 2025080312,   , MIWU, 0, 359N, 1451E,  40,  989, TS,
WP, 13, 2025080318,   , MIWU, 0, 366N, 1474E,  40,  988, TS,
WP, 13, 2025080400,   , MIWU, 0, 370N, 1495E,  35,  990, TS,
WP, 13, 2025080406,   , MIWU, 0, 372N, 1518E,  30,  992, TD,
WP, 13, 2025080412,   , MIWU, 0, 376N, 1538E,  35,  990, TS,
WP, 13, 2025080418,   , MIWU, 0, 379N, 1555E,  35,  990, TS,
WP, 13, 2025080500,   , MIWU, 0, 380N, 1568E,  35,  990, TS,
WP, 13, 2025080506,   , MIWU, 0, 384N, 1580E,  30,  992, LO,
WP, 13, 2025080512,   , MIWU, 0, 392N, 1592E,  30,  992, LO,
WP, 13, 2025080518,   , MIWU, 0, 399N, 1606E,  30,  992, LO,
WP, 13, 2025080600,   , MIWU, 0, 405N, 1624E,  35,  990, EX,
WP, 13, 2025080606,   , MIWU, 0, 415N, 1646E,  45,  984, EX,
WP, 13, 2025080612,   , MIWU, 0, 426N, 1670E,  45,  984, EX,
WP, 13, 2025080618,   , MIWU, 0, 435N, 1692E,  40,  988, EX,
WP, 13, 2025080700,   , MIWU, 0, 442N, 1712E,  35,  992, EX,
WP, 13, 2025080706,   , MIWU, 0, 452N, 1732E,  30,  995, EX,
