WP, 09, 2023082200,   , MIWU, 0, 188N, 1277E,  20, 1014, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Saola,
WP, 09, 2023082206,   , MIWU, 0, 188N, 1274E,  20, 1013, LO,
WP, 09, 2023082212,   , MIWU, 0, 188N, 1271E,  25, 1011, TD,
WP, 09, 2023082218,   , MIWU, 0, 187N, 1268E,  25, 1011, TD,
WP, 09, 2023082300,   , MIWU, 0, 187N, 1264E,  30, 1009, TD,
WP, 09, 2023082306,   , MIWU, 0, 188N, 1260E,  35, 1007, TS,
WP, 09, 2023082312,   , MIWU, 0, 191N, 1256E,  35, 1006, TS,
WP, 09, 2023082318,   , MIWU, 0, 195N, 1252E,  40, 1003, TS,
WP, 09, 2023082400,   , MIWU, 0, 201N, 1250E,  40, 1002, TS,
WP, 09, 2023082406,   , MIWU, 0, 204N, 1247E,  45,  999, TS,
WP, 09, 2023082412,   , MIWU, 0, 204N, 1244E,  45,  998, TS,
WP, 09, 2023082418,   , MIWU, 0, 202N, 1241E,  50,  995, TS,
WP, 09, 2023082500,   , MIWU, 0, 199N, 1238E,  60,  989, TS,
WP, 09, 2023082506,   , MIWU, 0, 197N, 1236E,  70,  983, TY,
WP, 09, 2023082512,   , MIWU, 0, 193N, 1234E,  80,  977, TY,
WP, 09, 2023082518,   , MIWU, 0, 189N, 1232E,  90,  970, TY,
WP, 09, 2023082600,   , MIWU, 0, 184N, 1231E, 100,  962, TY,
WP, 09, 2023082606,   , MIWU, 0, 180N, 1230E, 115,  950, TY,
WP, 09, 2023082612,   , MIWU, 0, 177N, 1230E, 120,  946, TY,
WP, 09, 2023082618,   , MIWU, 0, 173N, 1229E, 120,  944, TY,
WP, 09, 2023082700,   , MIWU, 0, 169N, 1229E, 115,  946, TY,
WP, 09, 2023082706,   , MIWU, 0, 165N, 1229E, 105,  952, TY,
WP, 09, 2023082712,   , MIWU, 0, 160N, 1231E, 105,  952, TY,
WP, 09, 2023082718,   , MIWU, 0, 161N, 1236E, 105,  951, TY,
WP, 09, 2023082800,   , MIWU, 0, 167N, 1243E, 110,  949, TY,
WP, 09, 2023082806,   , MIWU, 0, 176N, 1243E, 120,  943, TY,
WP, 09, 2023082808,   , MIWU, 0, 178N, 1242E, 130,  937, ST,
WP, 09, 2023082812,   , MIWU, 0, 180N, 1240E, 125,  938, TY,
WP, 09, 2023082818,   , MIWU, 0, 182N, 1237E, 105,  946, TY,
WP, 09, 2023082900,   , MIWU, 0, 184N, 1233E, 105,  944, TY,
WP, 09, 2023082906,   , MIWU, 0, 188N, 1230E, 120,  935, TY,
WP, 09, 2023082912,   , MIWU, 0, 193N, 1226E, 145,  913, ST,
WP, 09, 2023082915,   , MIWU, 0, 196N, 1223E, 145,  911, ST,
WP, 09, 2023082918,   , MIWU, 0, 198N, 1217E, 140,  910, ST,
WP, 09, 2023083000,   , MIWU, 0, 202N, 1210E, 135,  912, ST,
WP, 09, 2023083006,   , MIWU, 0, 206N, 1203E, 130,  915, ST,
WP, 09, 2023083012,   , MIWU, 0, 208N, 1196E, 130,  914, ST,
WP, 09, 2023083018,   , MIWU, 0, 209N, 1187E, 130,  915, ST,
WP, 09, 2023083100,   , MIWU, 0, 211N, 1181E, 125,  918, TY,
WP, 09, 2023083106,   , MIWU, 0, 212N, 1176E, 120,  921, TY,
WP, 09, 2023083112,   , MIWU, 0, 213N, 1172E, 115,  924, TY,
WP, 09, 2023083118,   , MIWU, 0, 215N, 1168E, 125,  920, TY,
WP, 09, 2023083121,   , MIWU, 0, 216N, 1165E, 130,  918, ST,
WP, 09, 2023090100,   , MIWU, 0, 217N, 1160E, 130,  919, ST,
WP, 09, 2023090106,   , MIWU, 0, 218N, 1153E, 120,  926, TY,
WP, 09, 2023090112,   , MIWU, 0, 219N, 1144E, 105,  938, TY,
WP, 09, 2023090118,   , MIWU, 0, 219N, 1136E,  90,  952, TY,
WP, 09, 2023090200,   , MIWU, 0, 219N, 1127E,  75,  967, TY,
WP, 09, 2023090206,   , MIWU, 0, 219N, 1119E,  60,  981, TS,
WP, 09, 2023090212,   , MIWU, 0, 219N, 1111E,  45,  993, TS,
WP, 09, 2023090218,   , MIWU, 0, 217N, 1104E,  35,  999, TS,
WP, 09, 2023090300,   , MIWU, 0, 213N, 1098E,  25, 1003, TD,
WP, 09, 2023090306,   , MIWU, 0, 210N, 1094E,  20, 1005, DB,
WP, 09, 2023090312,   , MIWU, 0, 209N, 1091E,  20, 1006, DB,
WP, 09, 2023090318,   , MIWU, 0, 206N, 1088E,  15, 1008, DB,
WP, 09, 2023090400,   , MIWU, 0, 202N, 1084E,  15, 1007, DB,
WP, 09, 2023090406,   , MIWU, 0, 196N, 1079E,  15, 1007, DB,
WP, 09, 2023090412,   , MIWU, 0, 190N, 1075E,  20, 1005, DB,
WP, 09, 2023090418,   , MIWU, 0, 185N, 1075E,  20, 1004, DB,
WP, 09, 2023090500,   , MIWU, 0, 184N, 1076E,  20, 1004, DB,
WP, 09, 2023090506,   , MIWU, 0, 183N, 1079E,  15, 1006, DB,
WP, 09, 2023090512,   , MIWU, 0, 183N, 1083E,  15, 1007, DB,
