WP, 25, 1990101406,   , MIWU, 0, 134N, 1537E,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Kyle,
WP, 25, 1990101412,   , MIWU, 0, 136N, 1530E,  20, 1008, DB,
WP, 25, 1990101418,   , MIWU, 0, 138N, 1522E,  20, 1007, DB,
WP, 25, 1990101500,   , MIWU, 0, 140N, 1514E,  20, 1007, DB,
WP, 25, 1990101506,   , MIWU, 0, 143N, 1505E,  25, 1005, TD,
WP, 25, 1990101512,   , MIWU, 0, 145N, 1497E,  25, 1004, TD,
WP, 25, 1990101518,   , MIWU, 0, 147N, 1490E,  30, 1002, TD,
WP, 25, 1990101600,   , MIWU, 0, 149N, 1482E,  30, 1002, TD,
WP, 25, 1990101606,   , MIWU, 0, 151N, 1475E,  30, 1001, TD,
WP, 25, 1990101612,   , MIWU, 0, 153N, 1470E,  35,  998, TS,
WP, 25, 1990101618,   , MIWU, 0, 155N, 1466E,  40,  995, TS,
WP, 25, 1990101700,   , MIWU, 0, 158N, 1464E,  40,  994, TS,
WP, 25, 1990101706,   , MIWU, 0, 162N, 1461E,  45,  991, TS,
WP, 25, 1990101712,   , MIWU, 0, 167N, 1457E,  50,  988, TS,
WP, 25, 1990101718,   , MIWU, 0, 173N, 1453E,  55,  985, TS,
WP, 25, 1990101800,   , MIWU, 0, 178N, 1449E,  65,  979, TY,
WP, 25, 1990101806,   , MIWU, 0, 183N, 1446E,  60,  981, TS,
WP, 25, 1990101812,   , MIWU, 0, 188N, 1442E,  60,  980, TS,
WP, 25, 1990101818,   , MIWU, 0, 194N, 1438E,  65,  977, TY,
WP, 25, 1990101900,   , MIWU, 0, 199N, 1435E,  70,  974, TY,
WP, 25, 1990101906,   , MIWU, 0, 204N, 1431E,  70,  972, TY,
WP, 25, 1990101912,   , MIWU, 0, 209N, 1427E,  70,  972, TY,
WP, 25, 1990101918,   , MIWU, 0, 213N, 1423E,  70,  971, TY,
WP, 25, 1990102000,   , MIWU, 0, 219N, 1422E,  75,  968, TY,
WP, 25, 1990102006,   , MIWU, 0, 225N, 1423E,  80,  964, TY,
WP, 25, 1990102012,   , MIWU, 0, 232N, 1426E,  95,  953, TY,
WP, 25, 1990102018,   , MIWU, 0, 240N, 1433E, 105,  948, TY,
WP, 25, 1990102100,   , MIWU, 0, 251N, 1444E, 100,  950, TY,
WP, 25, 1990102106,   , MIWU, 0, 263N, 1456E,  95,  953, TY,
WP, 25, 1990102112,   , MIWU, 0, 278N, 1469E,  90,  956, TY,
WP, 25, 1990102118,   , MIWU, 0, 300N, 1485E,  80,  962, TY,
WP, 25, 1990102200,   , MIWU, 0, 322N, 1505E,  75,  965, TY,
WP, 25, 1990102206,   , MIWU, 0, 340N, 1522E,  70,  968, TY,
WP, 25, 1990102212,   , MIWU, 0, 358N, 1538E,  65,  971, EX,
WP, 25, 1990102218,   , MIWU, 0, 375N, 1550E,  60,  974, EX,
WP, 25, 1990102300,   , MIWU, 0, 390N, 1560E,  55,  978, EX,
WP, 25, 1990102306,   , MIWU, 0, 408N, 1568E,  50,  982, EX,
WP, 25, 1990102312,   , MIWU, 0, 423N, 1577E,  50,  984, EX,
WP, 25, 1990102318,   , MIWU, 0, 435N, 1588E,  50,  984, EX,
WP, 25, 1990102400,   , MIWU, 0, 447N, 1603E,  45,  987, EX,
WP, 25, 1990102406,   , MIWU, 0, 451N, 1625E,  45,  988, EX,
WP, 25, 1990102412,   , MIWU, 0, 453N, 1652E,  40,  991, EX,
WP, 25, 1990102418,   , MIWU, 0, 452N, 1679E,  35,  994, EX,
WP, 25, 1990102500,   , MIWU, 0, 449N, 1705E,  30,  997, EX,
WP, 25, 1990102506,   , MIWU, 0, 443N, 1738E,  25, 1000, EX,
WP, 25, 1990102512,   , MIWU, 0, 434N, 1776E,  20, 1003, EX,
