WP, 27, 2016110712,   , MIWU, 0, 114N, 1664E,  15, 1015, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Ma-on,
WP, 27, 2016110718,   , MIWU, 0, 115N, 1655E,  20, 1013, DB,
WP, 27, 2016110800,   , MIWU, 0, 117N, 1645E,  25, 1011, TD,
WP, 27, 2016110806,   , MIWU, 0, 120N, 1633E,  35, 1007, TS,
WP, 27, 2016110812,   , MIWU, 0, 124N, 1622E,  35, 1006, TS,
WP, 27, 2016110818,   , MIWU, 0, 130N, 1613E,  40, 1004, TS,
WP, 27, 2016110900,   , MIWU, 0, 136N, 1604E,  40, 1004, TS,
WP, 27, 2016110906,   , MIWU, 0, 145N, 1598E,  40, 1003, TS,
WP, 27, 2016110912,   , MIWU, 0, 157N, 1587E,  40, 1003, TS,
WP, 27, 2016110918,   , MIWU, 0, 164N, 1576E,  40, 1003, TS,
WP, 27, 2016111000,   , MIWU, 0, 169N, 1565E,  35, 1005, TS,
WP, 27, 2016111006,   , MIWU, 0, 173N, 1555E,  35, 1005, TS,
WP, 27, 2016111012,   , MIWU, 0, 177N, 1544E,  35, 1005, TS,
WP, 27, 2016111018,   , MIWU, 0, 181N, 1532E,  35, 1006, WV,
WP, 27, 2016111100,   , MIWU, 0, 186N, 1519E,  35, 1006, WV,
WP, 27, 2016111106,   , MIWU, 0, 194N, 1505E,  35, 1006, WV,
WP, 27, 2016111112,   , MIWU, 0, 200N, 1489E,  30, 1006, WV,
WP, 27, 2016111118,   , MIWU, 0, 203N, 1471E,  30, 1006, WV,
WP, 27, 2016111200,   , MIWU, 0, 208N, 1456E,  25, 1008, WV,
WP, 27, 2016111206,   , MIWU, 0, 216N, 1446E,  25, 1008, WV,
WP, 27, 2016111212,   , MIWU, 0, 220N, 1437E,  25, 1008, WV,
WP, 27, 2016111218,   , MIWU, 0, 221N, 1428E,  20, 1010, WV,
WP, 27, 2016111300,   , MIWU, 0, 220N, 1420E,  15, 1012, WV,
WP, 27, 2016111306,   , MIWU, 0, 218N, 1415E,  15, 1013, WV,
