WP, 17, 2002080312,   , MIWU, 0, 326N, 1430E,  20, 1011, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Seventeen-W,
WP, 17, 2002080318,   , MIWU, 0, 327N, 1438E,  20, 1010, DB,
WP, 17, 2002080400,   , MIWU, 0, 330N, 1447E,  20, 1010, DB,
WP, 17, 2002080406,   , MIWU, 0, 333N, 1458E,  25, 1008, TD,
WP, 17, 2002080412,   , MIWU, 0, 335N, 1471E,  30, 1006, TD,
WP, 17, 2002080418,   , MIWU, 0, 338N, 1484E,  35, 1004, TS,
WP, 17, 2002080500,   , MIWU, 0, 340N, 1495E,  40, 1002, TS,
WP, 17, 2002080506,   , MIWU, 0, 341N, 1506E,  35, 1004, TS,
WP, 17, 2002080512,   , MIWU, 0, 342N, 1517E,  35, 1005, TS,
WP, 17, 2002080518,   , MIWU, 0, 346N, 1526E,  30, 1007, TD,
WP, 17, 2002080600,   , MIWU, 0, 352N, 1533E,  25, 1008, TD,
WP, 17, 2002080606,   , MIWU, 0, 357N, 1542E,  25, 1008, TD,
WP, 17, 2002080612,   , MIWU, 0, 364N, 1549E,  20, 1009, DB,
WP, 17, 2002080618,   , MIWU, 0, 374N, 1556E,  20, 1009, DB,
WP, 17, 2002080700,   , MIWU, 0, 385N, 1565E,  15, 1010, DB,
WP, 17, 2002080706,   , MIWU, 0, 397N, 1575E,  15, 1010, DB,
