WP, 24, 1999091512,   , MIWU, 0, 227N, 1287E,  20, 1007, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Bart,
WP, 24, 1999091518,   , MIWU, 0, 221N, 1285E,  20, 1007, LO,
WP, 24, 1999091600,   , MIWU, 0, 216N, 1285E,  20, 1007, LO,
WP, 24, 1999091606,   , MIWU, 0, 212N, 1286E,  20, 1006, LO,
WP, 24, 1999091612,   , MIWU, 0, 208N, 1289E,  20, 1006, LO,
WP, 24, 1999091618,   , MIWU, 0, 205N, 1292E,  25, 1004, TD,
WP, 24, 1999091700,   , MIWU, 0, 202N, 1296E,  25, 1004, TD,
WP, 24, 1999091706,   , MIWU, 0, 200N, 1300E,  25, 1004, TD,
WP, 24, 1999091712,   , MIWU, 0, 199N, 1303E,  30, 1002, TD,
WP, 24, 1999091718,   , MIWU, 0, 199N, 1305E,  30, 1001, LO,
WP, 24, 1999091800,   , MIWU, 0, 200N, 1306E,  30, 1000, LO,
WP, 24, 1999091806,   , MIWU, 0, 202N, 1304E,  30, 1000, LO,
WP, 24, 1999091812,   , MIWU, 0, 205N, 1300E,  35,  998, LO,
WP, 24, 1999091818,   , MIWU, 0, 210N, 1293E,  40,  995, TS,
WP, 24, 1999091900,   , MIWU, 0, 220N, 1282E,  40,  995, TS,
WP, 24, 1999091906,   , MIWU, 0, 228N, 1272E,  45,  992, TS,
WP, 24, 1999091912,   , MIWU, 0, 233N, 1264E,  50,  989, TS,
WP, 24, 1999091918,   , MIWU, 0, 235N, 1257E,  60,  983, TS,
WP, 24, 1999092000,   , MIWU, 0, 236N, 1254E,  70,  977, TY,
WP, 24, 1999092006,   , MIWU, 0, 238N, 1253E,  80,  970, TY,
WP, 24, 1999092012,   , MIWU, 0, 240N, 1252E,  90,  962, TY,
WP, 24, 1999092018,   , MIWU, 0, 241N, 1252E, 100,  954, TY,
WP, 24, 1999092100,   , MIWU, 0, 242N, 1254E, 110,  945, TY,
WP, 24, 1999092106,   , MIWU, 0, 244N, 1257E, 120,  935, TY,
WP, 24, 1999092112,   , MIWU, 0, 246N, 1262E, 140,  915, ST,
WP, 24, 1999092118,   , MIWU, 0, 250N, 1266E, 135,  912, ST,
WP, 24, 1999092200,   , MIWU, 0, 254N, 1269E, 125,  917, TY,
WP, 24, 1999092206,   , MIWU, 0, 259N, 1270E, 115,  924, TY,
WP, 24, 1999092212,   , MIWU, 0, 264N, 1271E, 105,  932, TY,
WP, 24, 1999092218,   , MIWU, 0, 270N, 1272E,  95,  940, TY,
WP, 24, 1999092300,   , MIWU, 0, 278N, 1273E,  90,  945, TY,
WP, 24, 1999092306,   , MIWU, 0, 289N, 1278E,  95,  943, TY,
WP, 24, 1999092312,   , MIWU, 0, 303N, 1286E, 110,  936, TY,
WP, 24, 1999092318,   , MIWU, 0, 318N, 1297E, 130,  928, ST,
WP, 24, 1999092321,   , MIWU, 0, 330N, 1305E, 105,  941, TY,
WP, 24, 1999092400,   , MIWU, 0, 343N, 1313E,  80,  960, TY,
WP, 24, 1999092406,   , MIWU, 0, 371N, 1338E,  65,  972, TY,
WP, 24, 1999092412,   , MIWU, 0, 400N, 1370E,  55,  980, EX,
WP, 24, 1999092418,   , MIWU, 0, 429N, 1403E,  45,  986, EX,
WP, 24, 1999092500,   , MIWU, 0, 447N, 1425E,  45,  986, EX,
WP, 24, 1999092506,   , MIWU, 0, 463N, 1450E,  50,  982, EX,
WP, 24, 1999092512,   , MIWU, 0, 475N, 1480E,  50,  982, EX,
WP, 24, 1999092518,   , MIWU, 0, 486N, 1508E,  50,  980, EX,
WP, 24, 1999092600,   , MIWU, 0, 496N, 1530E,  55,  977, EX,
WP, 24, 1999092606,   , MIWU, 0, 503N, 1547E,  65,  971, EX,
WP, 24, 1999092612,   , MIWU, 0, 508N, 1564E,  70,  968, EX,
WP, 24, 1999092618,   , MIWU, 0, 510N, 1583E,  65,  970, EX,
WP, 24, 1999092700,   , MIWU, 0, 512N, 1610E,  60,  973, EX,
WP, 24, 1999092706,   , MIWU, 0, 515N, 1640E,  60,  974, EX,
WP, 24, 1999092712,   , MIWU, 0, 518N, 1670E,  55,  977, EX,
WP, 24, 1999092718,   , MIWU, 0, 522N, 1696E,  50,  980, EX,
WP, 24, 1999092800,   , MIWU, 0, 527N, 1717E,  45,  984, EX,
WP, 24, 1999092806,   , MIWU, 0, 531N, 1733E,  40,  988, EX,
WP, 24, 1999092812,   , MIWU, 0, 534N, 1750E,  35,  992, EX,
WP, 24, 1999092818,   , MIWU, 0, 538N, 1770E,  30,  996, EX,
WP, 24, 1999092900,   , MIWU, 0, 544N, 1790E,  30,  998, EX,
WP, 24, 1999092906,   , MIWU, 0, 555N, 1793W,  25, 1002, EX,
