WP, 13, 1999080412,   , MIWU, 0, 202N, 1144E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Rachel,
WP, 13, 1999080418,   , MIWU, 0, 205N, 1144E,  20, 1006, DB,
WP, 13, 1999080500,   , MIWU, 0, 208N, 1145E,  25, 1004, TD,
WP, 13, 1999080506,   , MIWU, 0, 210N, 1147E,  30, 1002, TD,
WP, 13, 1999080512,   , MIWU, 0, 211N, 1150E,  35, 1000, TS,
WP, 13, 1999080518,   , MIWU, 0, 211N, 1155E,  40,  998, TS,
WP, 13, 1999080600,   , MIWU, 0, 210N, 1162E,  50,  994, TS,
WP, 13, 1999080606,   , MIWU, 0, 210N, 1168E,  50,  994, TS,
WP, 13, 1999080612,   , MIWU, 0, 212N, 1173E,  45,  996, TS,
WP, 13, 1999080618,   , MIWU, 0, 216N, 1179E,  45,  995, TS,
WP, 13, 1999080700,   , MIWU, 0, 224N, 1190E,  45,  995, TS,
WP, 13, 1999080706,   , MIWU, 0, 234N, 1203E,  40,  997, TS,
WP, 13, 1999080712,   , MIWU, 0, 244N, 1227E,  30, 1001, TD,
WP, 13, 1999080718,   , MIWU, 0, 252N, 1250E,  30, 1002, TD,
WP, 13, 1999080800,   , MIWU, 0, 260N, 1265E,  30, 1002, TD,
WP, 13, 1999080806,   , MIWU, 0, 267N, 1278E,  30, 1002, TD,
WP, 13, 1999080812,   , MIWU, 0, 274N, 1283E,  35, 1000, TS,
WP, 13, 1999080818,   , MIWU, 0, 282N, 1284E,  35,  999, TS,
WP, 13, 1999080900,   , MIWU, 0, 290N, 1282E,  35,  999, TS,
WP, 13, 1999080906,   , MIWU, 0, 300N, 1273E,  35,  998, TS,
WP, 13, 1999080912,   , MIWU, 0, 312N, 1255E,  30, 1000, TD,
WP, 13, 1999080918,   , MIWU, 0, 324N, 1241E,  30, 1000, TD,
WP, 13, 1999081000,   , MIWU, 0, 332N, 1232E,  30, 1001, LO,
WP, 13, 1999081006,   , MIWU, 0, 343N, 1227E,  25, 1003, LO,
WP, 13, 1999081012,   , MIWU, 0, 352N, 1219E,  20, 1006, LO,
WP, 13, 1999081018,   , MIWU, 0, 357N, 1209E,  20, 1007, LO,
WP, 13, 1999081100,   , MIWU, 0, 360N, 1202E,  15, 1010, LO,
