WP, 20, 1999083006,   , MIWU, 0, 115N, 1309E,  20, 1007, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Wendy,
WP, 20, 1999083012,   , MIWU, 0, 116N, 1302E,  20, 1007, LO,
WP, 20, 1999083018,   , MIWU, 0, 118N, 1296E,  20, 1007, LO,
WP, 20, 1999083100,   , MIWU, 0, 120N, 1291E,  20, 1006, LO,
WP, 20, 1999083106,   , MIWU, 0, 122N, 1286E,  20, 1006, LO,
WP, 20, 1999083112,   , MIWU, 0, 123N, 1281E,  20, 1006, LO,
WP, 20, 1999083118,   , MIWU, 0, 125N, 1275E,  20, 1006, LO,
WP, 20, 1999090100,   , MIWU, 0, 128N, 1271E,  25, 1004, LO,
WP, 20, 1999090106,   , MIWU, 0, 133N, 1268E,  25, 1004, TD,
WP, 20, 1999090112,   , MIWU, 0, 143N, 1264E,  25, 1004, TD,
WP, 20, 1999090118,   , MIWU, 0, 156N, 1254E,  30, 1002, TD,
WP, 20, 1999090200,   , MIWU, 0, 169N, 1241E,  35,  999, TS,
WP, 20, 1999090206,   , MIWU, 0, 182N, 1228E,  35,  998, TS,
WP, 20, 1999090212,   , MIWU, 0, 190N, 1219E,  40,  995, TS,
WP, 20, 1999090218,   , MIWU, 0, 196N, 1208E,  45,  992, TS,
WP, 20, 1999090300,   , MIWU, 0, 203N, 1196E,  45,  991, TS,
WP, 20, 1999090306,   , MIWU, 0, 213N, 1184E,  45,  991, TS,
WP, 20, 1999090312,   , MIWU, 0, 221N, 1174E,  45,  991, TS,
WP, 20, 1999090318,   , MIWU, 0, 228N, 1166E,  40,  993, TS,
WP, 20, 1999090400,   , MIWU, 0, 236N, 1160E,  35,  996, TS,
WP, 20, 1999090406,   , MIWU, 0, 246N, 1155E,  30,  999, TD,
WP, 20, 1999090412,   , MIWU, 0, 258N, 1156E,  30, 1000, TD,
WP, 20, 1999090418,   , MIWU, 0, 268N, 1159E,  25, 1002, TD,
WP, 20, 1999090500,   , MIWU, 0, 277N, 1164E,  25, 1002, TD,
WP, 20, 1999090506,   , MIWU, 0, 284N, 1172E,  25, 1003, LO,
WP, 20, 1999090512,   , MIWU, 0, 292N, 1184E,  25, 1003, LO,
WP, 20, 1999090518,   , MIWU, 0, 302N, 1197E,  25, 1003, LO,
WP, 20, 1999090600,   , MIWU, 0, 313N, 1212E,  30, 1001, LO,
WP, 20, 1999090606,   , MIWU, 0, 324N, 1230E,  30, 1000, EX,
WP, 20, 1999090612,   , MIWU, 0, 333N, 1248E,  35,  998, EX,
WP, 20, 1999090618,   , MIWU, 0, 340N, 1262E,  35,  998, EX,
WP, 20, 1999090700,   , MIWU, 0, 350N, 1274E,  30, 1000, EX,
WP, 20, 1999090706,   , MIWU, 0, 362N, 1286E,  20, 1004, EX,
