WP, 26, 1999100112,   , MIWU, 0, 162N, 1350E,  20, 1009, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Dan,
WP, 26, 1999100118,   , MIWU, 0, 163N, 1344E,  20, 1009, LO,
WP, 26, 1999100200,   , MIWU, 0, 164N, 1337E,  25, 1007, LO,
WP, 26, 1999100206,   , MIWU, 0, 166N, 1330E,  25, 1006, TD,
WP, 26, 1999100212,   , MIWU, 0, 169N, 1322E,  25, 1006, TD,
WP, 26, 1999100218,   , MIWU, 0, 172N, 1312E,  30, 1004, TD,
WP, 26, 1999100300,   , MIWU, 0, 176N, 1302E,  35, 1002, TS,
WP, 26, 1999100306,   , MIWU, 0, 181N, 1294E,  40, 1000, TS,
WP, 26, 1999100312,   , MIWU, 0, 184N, 1286E,  45,  998, TS,
WP, 26, 1999100318,   , MIWU, 0, 184N, 1278E,  55,  992, TS,
WP, 26, 1999100400,   , MIWU, 0, 183N, 1266E,  60,  989, TS,
WP, 26, 1999100406,   , MIWU, 0, 182N, 1255E,  70,  983, TY,
WP, 26, 1999100412,   , MIWU, 0, 182N, 1245E,  85,  974, TY,
WP, 26, 1999100418,   , MIWU, 0, 182N, 1235E, 100,  962, TY,
WP, 26, 1999100500,   , MIWU, 0, 182N, 1224E, 115,  952, TY,
WP, 26, 1999100503,   , MIWU, 0, 183N, 1218E, 105,  958, TY,
WP, 26, 1999100506,   , MIWU, 0, 184N, 1212E,  80,  974, TY,
WP, 26, 1999100512,   , MIWU, 0, 185N, 1202E,  55,  988, TS,
WP, 26, 1999100518,   , MIWU, 0, 185N, 1194E,  60,  986, TS,
WP, 26, 1999100600,   , MIWU, 0, 186N, 1188E,  65,  983, TY,
WP, 26, 1999100606,   , MIWU, 0, 188N, 1183E,  70,  980, TY,
WP, 26, 1999100612,   , MIWU, 0, 190N, 1179E,  70,  979, TY,
WP, 26, 1999100618,   , MIWU, 0, 193N, 1177E,  75,  976, TY,
WP, 26, 1999100700,   , MIWU, 0, 197N, 1178E,  80,  972, TY,
WP, 26, 1999100706,   , MIWU, 0, 202N, 1180E,  85,  968, TY,
WP, 26, 1999100712,   , MIWU, 0, 207N, 1182E,  95,  962, TY,
WP, 26, 1999100718,   , MIWU, 0, 212N, 1183E,  90,  965, TY,
WP, 26, 1999100800,   , MIWU, 0, 217N, 1182E,  90,  966, TY,
WP, 26, 1999100806,   , MIWU, 0, 222N, 1180E,  85,  969, TY,
WP, 26, 1999100812,   , MIWU, 0, 227N, 1181E,  90,  967, TY,
WP, 26, 1999100818,   , MIWU, 0, 233N, 1182E,  85,  970, TY,
WP, 26, 1999100900,   , MIWU, 0, 240N, 1181E,  80,  973, TY,
WP, 26, 1999100906,   , MIWU, 0, 247N, 1179E,  70,  979, TY,
WP, 26, 1999100912,   , MIWU, 0, 256N, 1180E,  55,  990, TS,
WP, 26, 1999100918,   , MIWU, 0, 264N, 1184E,  40,  999, TS,
WP, 26, 1999101000,   , MIWU, 0, 274N, 1192E,  30, 1004, TD,
WP, 26, 1999101006,   , MIWU, 0, 284N, 1204E,  25, 1006, TD,
WP, 26, 1999101012,   , MIWU, 0, 296N, 1216E,  25, 1006, EX,
WP, 26, 1999101018,   , MIWU, 0, 308N, 1229E,  25, 1007, EX,
WP, 26, 1999101100,   , MIWU, 0, 318N, 1245E,  20, 1009, EX,
WP, 26, 1999101106,   , MIWU, 0, 324N, 1262E,  20, 1009, EX,
WP, 26, 1999101112,   , MIWU, 0, 327N, 1274E,  20, 1010, EX,
WP, 26, 1999101118,   , MIWU, 0, 327N, 1281E,  20, 1010, EX,
WP, 26, 1999101200,   , MIWU, 0, 324N, 1286E,  15, 1012, EX,
