EP, 01, 2010052718,   , MIWU, 0, 125N,  949W,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Agatha,
EP, 01, 2010052800,   , MIWU, 0, 126N,  950W,  20, 1009, DB,
EP, 01, 2010052806,   , MIWU, 0, 127N,  950W,  20, 1009, DB,
EP, 01, 2010052812,   , MIWU, 0, 128N,  948W,  20, 1009, DB,
EP, 01, 2010052818,   , MIWU, 0, 130N,  944W,  25, 1007, TD,
EP, 01, 2010052900,   , MIWU, 0, 132N,  940W,  30, 1005, TD,
EP, 01, 2010052906,   , MIWU, 0, 134N,  937W,  30, 1004, TD,
EP, 01, 2010052912,   , MIWU, 0, 137N,  933W,  40, 1000, TS,
EP, 01, 2010052918,   , MIWU, 0, 141N,  927W,  35, 1002, TS 
EP, 01, 2010053000,   , MIWU, 0, 145N,  921W,  35, 1003, TS,
EP, 01, 2010053006,   , MIWU, 0, 150N,  917W,  25, 1007, TD,
EP, 01, 2010053012,   , MIWU, 0, 156N,  915W,  15, 1011, DB,
