EP, 02, 2010061512,   , MIWU, 0, 146N,  952W,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Two-E,
EP, 02, 2010061518,   , MIWU, 0, 146N,  955W,  20, 1009, DB,
EP, 02, 2010061600,   , MIWU, 0, 146N,  957W,  25, 1007, TD,
EP, 02, 2010061606,   , MIWU, 0, 146N,  959W,  30, 1006, TD,
EP, 02, 2010061612,   , MIWU, 0, 147N,  959W,  30, 1006, TD,
EP, 02, 2010061618,   , MIWU, 0, 148N,  960W,  25, 1007, TD,
EP, 02, 2010061700,   , MIWU, 0, 150N,  962W,  25, 1008, TD,
EP, 02, 2010061706,   , MIWU, 0, 153N,  965W,  20, 1010, DB,
EP, 02, 2010061712,   , MIWU, 0, 157N,  970W,  20, 1010, DB,
EP, 02, 2010061718,   , MIWU, 0, 159N,  976W,  20, 1010, DB,
EP, 02, 2010061800,   , MIWU, 0, 160N,  982W,  15, 1011, DB,
