SH, 72, 2005010300,   , MIWU, 0, 174S,  391E,  15, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Unnamed-02,
SH, 72, 2005010306,   , MIWU, 0, 179S,  395E,  20, 1005, DB,
SH, 72, 2005010312,   , MIWU, 0, 186S,  398E,  25, 1003, TD,
SH, 72, 2005010318,   , MIWU, 0, 194S,  400E,  30, 1001, TD,
SH, 72, 2005010400,   , MIWU, 0, 200S,  402E,  40,  997, TS,
SH, 72, 2005010406,   , MIWU, 0, 205S,  408E,  45,  995, TS,
SH, 72, 2005010412,   , MIWU, 0, 211S,  419E,  45,  995, TS,
SH, 72, 2005010418,   , MIWU, 0, 220S,  432E,  45,  996, TS,
SH, 72, 2005010500,   , MIWU, 0, 232S,  447E,  35, 1000, TS,
SH, 72, 2005010506,   , MIWU, 0, 243S,  468E,  25, 1004, TD,
SH, 72, 2005010512,   , MIWU, 0, 253S,  487E,  25, 1003, TD,
SH, 72, 2005010518,   , MIWU, 0, 263S,  505E,  25, 1003, SD,
SH, 72, 2005010600,   , MIWU, 0, 276S,  523E,  25, 1002, SD,
SH, 72, 2005010606,   , MIWU, 0, 290S,  542E,  30, 1002, SD,
SH, 72, 2005010612,   , MIWU, 0, 305S,  558E,  35, 1000, SS,
SH, 72, 2005010618,   , MIWU, 0, 310S,  569E,  35,  999, SS,
SH, 72, 2005010700,   , MIWU, 0, 310S,  575E,  35,  998, SS,
SH, 72, 2005010706,   , MIWU, 0, 309S,  577E,  35,  998, SS,
SH, 72, 2005010712,   , MIWU, 0, 307S,  577E,  30, 1000, SD,
SH, 72, 2005010718,   , MIWU, 0, 305S,  576E,  30, 1000, SD,
SH, 72, 2005010800,   , MIWU, 0, 304S,  571E,  25, 1002, SD,
SH, 72, 2005010806,   , MIWU, 0, 303S,  566E,  25, 1002, SD,
SH, 72, 2005010812,   , MIWU, 0, 304S,  562E,  25, 1002, SD,
SH, 72, 2005010818,   , MIWU, 0, 307S,  560E,  25, 1001, SD,
SH, 72, 2005010900,   , MIWU, 0, 312S,  560E,  30,  999, SD,
SH, 72, 2005010906,   , MIWU, 0, 326S,  561E,  30,  998, SD,
SH, 72, 2005010912,   , MIWU, 0, 340S,  565E,  30,  998, EX,
SH, 72, 2005010918,   , MIWU, 0, 362S,  580E,  35,  996, EX,
SH, 72, 2005011000,   , MIWU, 0, 379S,  603E,  35,  996, EX,
SH, 72, 2005011006,   , MIWU, 0, 400S,  631E,  35,  995, EX,
SH, 72, 2005011012,   , MIWU, 0, 424S,  670E,  30,  995, EX,
