SH, 25, 2005032912,   , MIWU, 0, 100S,  850E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Isang,
SH, 25, 2005032918,   , MIWU, 0, 102S,  847E,  20, 1004, DB,
SH, 25, 2005033000,   , MIWU, 0, 106S,  845E,  20, 1004, DB,
SH, 25, 2005033006,   , MIWU, 0, 110S,  844E,  20, 1005, DB,
SH, 25, 2005033012,   , MIWU, 0, 113S,  842E,  20, 1005, DB,
SH, 25, 2005033018,   , MIWU, 0, 115S,  839E,  20, 1004, DB,
SH, 25, 2005033100,   , MIWU, 0, 116S,  831E,  25, 1002, TD,
SH, 25, 2005033106,   , MIWU, 0, 117S,  819E,  25, 1003, TD,
SH, 25, 2005033112,   , MIWU, 0, 118S,  805E,  25, 1002, TD,
SH, 25, 2005033118,   , MIWU, 0, 117S,  795E,  30, 1000, TD,
SH, 25, 2005040100,   , MIWU, 0, 118S,  787E,  30,  999, TD,
SH, 25, 2005040106,   , MIWU, 0, 120S,  780E,  20, 1003, DB,
SH, 25, 2005040112,   , MIWU, 0, 122S,  769E,  20, 1002, DB,
SH, 25, 2005040118,   , MIWU, 0, 125S,  759E,  25, 1000, TD,
SH, 25, 2005040200,   , MIWU, 0, 130S,  750E,  30,  998, TD,
SH, 25, 2005040206,   , MIWU, 0, 136S,  746E,  30,  998, TD,
SH, 25, 2005040212,   , MIWU, 0, 141S,  743E,  30,  997, TD,
SH, 25, 2005040218,   , MIWU, 0, 145S,  735E,  30,  996, TD,
SH, 25, 2005040300,   , MIWU, 0, 148S,  724E,  35,  994, TS,
SH, 25, 2005040306,   , MIWU, 0, 150S,  714E,  40,  992, TS,
SH, 25, 2005040312,   , MIWU, 0, 153S,  704E,  40,  991, TS,
SH, 25, 2005040318,   , MIWU, 0, 159S,  698E,  40,  990, TS,
SH, 25, 2005040400,   , MIWU, 0, 165S,  694E,  40,  990, TS,
SH, 25, 2005040406,   , MIWU, 0, 171S,  690E,  40,  990, TS,
SH, 25, 2005040412,   , MIWU, 0, 177S,  683E,  40,  990, TS,
SH, 25, 2005040418,   , MIWU, 0, 186S,  673E,  45,  988, TS,
SH, 25, 2005040500,   , MIWU, 0, 194S,  665E,  40,  990, TS,
SH, 25, 2005040506,   , MIWU, 0, 199S,  660E,  40,  989, TS,
SH, 25, 2005040512,   , MIWU, 0, 204S,  657E,  45,  986, TS,
SH, 25, 2005040518,   , MIWU, 0, 216S,  657E,  50,  983, TS,
SH, 25, 2005040600,   , MIWU, 0, 228S,  659E,  60,  977, TS,
SH, 25, 2005040606,   , MIWU, 0, 244S,  664E,  70,  971, TY,
SH, 25, 2005040612,   , MIWU, 0, 264S,  675E,  70,  970, TY,
SH, 25, 2005040618,   , MIWU, 0, 283S,  686E,  65,  972, TY,
SH, 25, 2005040700,   , MIWU, 0, 300S,  694E,  65,  973, EX,
SH, 25, 2005040706,   , MIWU, 0, 316S,  700E,  65,  971, EX,
SH, 25, 2005040712,   , MIWU, 0, 325S,  703E,  65,  968, EX,
SH, 25, 2005040718,   , MIWU, 0, 337S,  701E,  60,  970, EX,
SH, 25, 2005040800,   , MIWU, 0, 350S,  699E,  60,  970, EX,
SH, 25, 2005040806,   , MIWU, 0, 361S,  702E,  55,  973, EX,
SH, 25, 2005040812,   , MIWU, 0, 373S,  714E,  50,  976, EX,
SH, 25, 2005040818,   , MIWU, 0, 382S,  738E,  40,  984, EX,
SH, 25, 2005040900,   , MIWU, 0, 390S,  762E,  35,  988, EX,
SH, 25, 2005040906,   , MIWU, 0, 394S,  782E,  30,  991, EX,
SH, 25, 2005040912,   , MIWU, 0, 397S,  800E,  30,  992, EX,
SH, 25, 2005040918,   , MIWU, 0, 396S,  815E,  25,  995, EX,
